gene,family,log2FC_res_vs_par,p,fdr
CECR2,reader,1.0256629218865392,0.0009506836743290197,0.07627075841775999
HDAC11,eraser,0.982220552194935,0.009462147476816755,0.16756545448075158
HDAC5,eraser,0.8907195354595832,0.001721798255990708,0.08723161092694147
SIRT7,eraser,0.7219485789677602,0.013803187520581054,0.19839271965655994
SIRT2,eraser,0.6480183238197945,0.012821956222168442,0.19243837357251103
HAT1,writer,0.6126614596180762,0.12091965006244189,0.5478007760785676
NCOA3,writer,0.45910199602829493,0.0791273119139621,0.44690477543450197
BAZ2A,reader,0.29611494072836386,0.13155269592728763,0.5728384251110098
CLOCK,writer,0.2954646874828981,0.15687760731099618,0.6244179209233144
ATAD2,reader,0.2549105017664246,0.21337646496937232,0.7014469867912585
HDAC4,eraser,0.23731442544750259,0.17943366201907512,0.6651627799222809
NCOA2,writer,0.16943141393889682,0.3835067999208642,0.8875690007894199
ATF2,writer,0.13773771638886956,0.5645696373953286,1.0
SIRT3,eraser,0.13268502860875664,0.41713080127753005,0.8875690007894199
BAZ2B,reader,0.11302081731856894,0.48409517150251147,0.9607119444638504
HDAC10,eraser,0.11159628202465477,0.36484793251905057,0.8875690007894199
ATAD2B,reader,0.10160109095589931,0.5971986075276718,1.0
HDAC6,eraser,0.0724553848757381,0.5475313332461692,1.0
HDAC3,eraser,0.05440707992080718,0.7470907225059433,1.0
GTF3C4,writer,0.05171729265953928,0.7892137779340581,1.0
BRD9,reader,0.032435948474338616,0.8751127854294086,1.0
NCOA1,writer,0.0120917196401642,0.9361260692302794,1.0
BRDT,reader,0.0,1.0,1.0
HDAC2,eraser,-0.0011954888601284352,0.9955692040326946,1.0
KAT7,writer,-0.007937404992373942,0.9635048645722741,1.0
BRD7,reader,-0.01206565712156582,0.9520168658976425,1.0
TAF1,writer,-0.02195859148244317,0.9135007509214412,1.0
BRD2,reader,-0.05618085086399738,0.6943636716927204,1.0
EP300,writer,-0.07837976606785624,0.6228409396789916,1.0
BRD3,reader,-0.17659300240351072,0.3691359507203229,0.8875690007894199
HDAC1,eraser,-0.1825788792322367,0.35195371951037474,0.8875690007894199
CREBBP,writer,-0.1873063989601782,0.2141279471162951,0.7027441923768332
ELP3,writer,-0.20556275588112172,0.28488799473630266,0.8064275388546756
KAT8,writer,-0.21396487836029898,0.2399429522094983,0.7417666580740855
KAT2A,writer,-0.2363431606031252,0.1462622453991254,0.6038192650774747
SIRT1,eraser,-0.24293433909809714,0.2217451775631246,0.7142317493807199
BRD4,reader,-0.25116117402262006,0.04502344121540659,0.3467119273350464
KAT5,writer,-0.255143025546527,0.31229445903675424,0.8461240415980379
BRPF1,reader,-0.26432175070094033,0.1074159241602525,0.5136431704688822
KAT6A,writer,-0.268466633713345,0.13646714623258727,0.5843876676873055
BRPF3,reader,-0.28018438510683197,0.08200218500824812,0.45523692497720936
SIRT6,eraser,-0.3432138390819226,0.10496586533957016,0.5084449051416289
HDAC8,eraser,-0.7930397182230635,0.006284355373681326,0.14196101409403847
TAF1L,writer,-0.8001908856573594,0.5510649070268158,1.0
KAT6B,writer,-1.0244345089193772,0.007408121780024787,0.1516560250862835
HDAC7,eraser,-1.0936330793099671,0.002391931340405353,0.09757531931776846
KAT2B,writer,-1.3317194775820553,0.01624824805610406,0.21444285507744512
HDAC9,eraser,-2.254907150390749,0.00018740433438794006,0.04469846624252895
