gene,log2FC,p,fdr
IMPG2,-0.5854019633189873,5.518229629212724e-12,1.4609512943340686e-07
CXCL6,-2.3222312768510833,2.99297555752705e-09,2.5547041892597807e-05
FEV,-1.0007205262434613,3.5607493185701637e-09,2.5547041892597807e-05
LDLRAD1,-1.0120552667069962,5.4976007610787186e-09,2.5547041892597807e-05
ADRA1D,-3.000641907654538,5.9144507906624815e-09,2.5547041892597807e-05
CALHM3,-1.0006273579344744,6.327176210876833e-09,2.5547041892597807e-05
DMRT3,-1.0003084516055372,7.126045718045715e-09,2.5547041892597807e-05
LOC442497,-1.0003175597146685,7.719597172456372e-09,2.5547041892597807e-05
GABRA2,-1.0138451257046601,1.1111020620738997e-08,3.2684918992673885e-05
SERPINA6,-0.9998036470830698,1.4605286149737701e-08,3.4620542128684417e-05
GLIS1,-1.585367179442332,1.505059903019751e-08,3.4620542128684417e-05
LOC286059,-1.0002898767156472,1.569203042659917e-08,3.4620542128684417e-05
DNAJC5B,-1.0002272772133096,2.6123734818169675e-08,4.950986741311867e-05
LINC01305,-1.0004636551561836,2.8023850033939815e-08,4.950986741311867e-05
LINC01260,-2.8068418920434888,2.8050916381370355e-08,4.950986741311867e-05
GPR150,-1.0004423245047664,3.710348269762722e-08,6.139466902623005e-05
LOC401357,-1.0007782337217235,4.246724033802782e-08,6.613648164407569e-05
PCDHB5,1.000360761465993,6.538865566040538e-08,9.617581436717957e-05
CST7,-1.0012969521385695,2.1089426400015788e-07,0.00029386450733706214
LOC100130370,-0.9996991224908283,4.613815248761187e-07,0.0006107537935547622
CTAG1B,-0.5846828177920174,6.478484751506203e-07,0.000780047182684879
CTAG1A,-0.5838490091057547,6.481978477456973e-07,0.000780047182684879
NOG,-1.93120396848634,1.0172059182663682e-06,0.0011708924646131346
PPP1R3F,-1.1674254010804264,1.0793281728021333e-06,0.0011906338906223534
LOC102723780,-1.006929481283683,1.671984114957687e-06,0.0017706311777401906
DGCR5,-1.595134441942986,2.50830882569299e-06,0.0025541336984700735
PIANP,-4.06479676452616,3.0018547405162087e-06,0.0029434853427839493
CACNB3,-1.4583749325868336,3.2027616766664734e-06,0.003012659413428365
THBS3,-1.7762749433262517,3.2999857597515608e-06,0.003012659413428365
HCK,-2.7140893531607,4.392963468148452e-06,0.003839140840725256
HIST1H2BC,2.2357050460314216,4.495311277147608e-06,0.003839140840725256
KIF5A,-1.5173693865882578,4.9041335714271436e-06,0.003944748951244437
TP53I11,-2.485458838254713,4.977724812381178e-06,0.003944748951244437
ART5,3.7758925779196995,5.0949358221750544e-06,0.003944748951244437
SLC6A9,-3.3237441733348003,5.333329381980918e-06,0.003944748951244437
FAM69B,-2.7258369842732764,5.363964579595835e-06,0.003944748951244437
EXD2,-1.5137394385147704,5.5806419147942744e-06,0.003993175532275092
EFNB3,-3.129136484929469,6.1025304390297194e-06,0.0042516971940345216
SEMA6B,-3.5823500153145442,6.797902515686072e-06,0.004614729976994583
LARP6,-0.652875051098663,7.778780385585946e-06,0.005056300919006435
MARCKS,-2.831882563615693,8.082140922322553e-06,0.005056300919006435
PLEKHG4B,-2.8753483802473694,8.204333340945058e-06,0.005056300919006435
STAP2,-2.9193836358886847,8.212311218782879e-06,0.005056300919006435
HIST2H2BE,2.1923636964935307,8.665620845318158e-06,0.00520432852127706
MUC1,-2.7653517237662424,8.845884172142312e-06,0.00520432852127706
COL3A1,-3.0755510902957752,9.996464890224802e-06,0.005631620612133607
HOXB5,-2.3891232515193526,1.0005094585447217e-05,0.005631620612133607
FZD2,-1.522040752491808,1.0210303659392375e-05,0.005631620612133607
SERPINI1,1.6062763567847966,1.053655650172563e-05,0.005692965987411961
AIF1L,-0.8115043564362381,1.099109722959228e-05,0.005799969454027218
BEGAIN,-2.7284364232052907,1.117274569047736e-05,0.005799969454027218
MEIS3,-1.9135281101446777,1.162441838715333e-05,0.005918393784613161
CAMK2N2,-2.0827074397374643,1.2006408258337898e-05,0.005997540729047092
CHGB,-1.6663353249458082,1.2432820276858823e-05,0.006069377292216291
SH3BP1,-2.6893161399056975,1.2608715810081056e-05,0.006069377292216291
NR2F1,-2.2320393554370384,1.3141208495159278e-05,0.006176747033600507
TPSG1,-3.131235745685066,1.3298378882539333e-05,0.006176747033600507
MICAL2,-1.5459206452045677,1.3944592029124466e-05,0.006365225413294315
CYP26B1,-2.0506907101694827,1.5184643144814498e-05,0.006813786902694303
HOXC8,-2.027916067509411,1.550322979965536e-05,0.006840800149097927
PROB1,-0.6787732374189597,1.6819466592300305e-05,0.007299924230018862
