gene,log2FC,p,fdr
RPEL1,-1.0014939964044125,1.151713484135563e-09,2.5547041892597807e-05
CXCL6,-2.3222312768510833,2.99297555752705e-09,2.5547041892597807e-05
FEV,-1.0007205262434613,3.5607493185701637e-09,2.5547041892597807e-05
LDLRAD1,-1.0120552667069962,5.4976007610787186e-09,2.5547041892597807e-05
ADRA1D,-3.000641907654538,5.9144507906624815e-09,2.5547041892597807e-05
CALHM3,-1.0006273579344744,6.327176210876833e-09,2.5547041892597807e-05
DMRT3,-1.0003084516055372,7.126045718045715e-09,2.5547041892597807e-05
LOC442497,-1.0003175597146685,7.719597172456372e-09,2.5547041892597807e-05
ARHGAP40,-1.0005901068362164,2.1930025798640195e-08,6.226046366456715e-05
CPLX1,-1.9819138262806213,2.351670015658816e-08,6.226046366456715e-05
GPR26,0.9997418626055792,2.8775328103116643e-08,6.925698286636482e-05
GPR150,-1.0004423245047664,3.710348269762722e-08,7.769641194904502e-05
TDRD12,1.000226835862171,3.815121266619774e-08,7.769641194904502e-05
LOC401357,-1.0007782337217235,4.246724033802782e-08,8.002994507262017e-05
LTBP2,-2.0830936525268244,4.534274508363749e-08,8.002994507262017e-05
RAB40A,0.9998299643442697,7.609193807990819e-08,0.0001259083787915981
CACNA1C,-1.0008551887252162,8.869513182360586e-08,0.00013812962441352736
RAB19,-1.0015093545349474,1.910935136394035e-07,0.00028106670964462264
CST7,-1.0012969521385695,2.1089426400015788e-07,0.00029386450733706214
PIR,-1.1516715676420564,2.3813744673742968e-07,0.0003152344451186725
LOC729083,1.0011493835708596,2.9983686621742645e-07,0.00037800862062411264
CES1,-1.9384360293329541,4.553985307760346e-07,0.0005480307319225235
CTAG1B,-0.5846828177920174,6.478484751506203e-07,0.000695981033843181
CTAG1A,-0.5838490091057547,6.481978477456973e-07,0.000695981033843181
SPRN,-2.1400137397384533,6.572058865374703e-07,0.000695981033843181
TM4SF18,-3.658462722193918,1.0810123814686166e-06,0.0011007616461300624
GPR137B,-1.591274016228069,1.252582808435122e-06,0.0012032277549783638
MORN4,-1.7201123818314068,1.2725354915729625e-06,0.0012032277549783638
IFIH1,-1.9150345527687387,1.4962252832064136e-06,0.0013659504956168896
SEPT8,-1.3370177419213345,1.6771390392996087e-06,0.0014800752021819046
LIMS2,-1.3690972998956141,1.935665157185476e-06,0.0016531204850479188
MTMR2,-1.369899842234286,2.5549569242550193e-06,0.002027118243490519
PRDX2,-2.5295274109851764,2.57802362251444e-06,0.002027118243490519
TPM4,-1.49014515385727,2.6032868849358884e-06,0.002027118243490519
LOC102546298,-1.5848778522863256,2.8159888535287988e-06,0.00213009442563357
LIPG,-3.788360592008952,3.373072163683114e-06,0.002461937108418449
ZNF608,-2.360849550971148,3.4406675358444804e-06,0.002461937108418449
KLF13,-1.3828429776562476,3.972994612856765e-06,0.002768027167773233
LRRC16A,-1.3757034728295912,4.903273352561234e-06,0.00332856825664253
ZMYND8,-2.0012115029092445,5.144490506592366e-06,0.0034050096540508223
FAM21C,-0.9688959913606396,5.7633394145239945e-06,0.003685228476075539
EPB41L1,-1.8234757633853587,5.846254806238815e-06,0.003685228476075539
FAM65C,-2.9484101575719412,6.375094381838718e-06,0.00392513078509721
MYOF,-0.9377793382332076,6.792725615308124e-06,0.003949984842197264
ZFP36L1,-1.5803881404545326,6.808414850364107e-06,0.003949984842197264
AK4,-1.7862892512494248,6.863052039322914e-06,0.003949984842197264
GTF3C6,-1.5429035302556624,7.054375774769851e-06,0.0039737148646176975
GPRIN2,-3.659092137965342,7.55294473517236e-06,0.004156955286091843
KLF6,-1.1072043820094013,7.816972240027927e-06,0.004156955286091843
ARL3,-0.6136382866229013,7.850718198473736e-06,0.004156955286091843
FOXD3,-2.2994575739085765,8.199638315842937e-06,0.0042565769492537596
FAM69B,-2.5483177041948455,8.694028808081012e-06,0.004400670459330988
GPNMB,-2.4528095106095575,8.943830821706052e-06,0.004400670459330988
IRS1,-1.536089544441463,9.04786461280528e-06,0.004400670459330988
PALM,-2.1622398735390735,9.142091605786755e-06,0.004400670459330988
KIAA1407,-1.9169506337272422,9.535708822435474e-06,0.0045081766263210575
MVB12B,-1.6167276961492592,9.835975322510588e-06,0.004554611415860109
CACNB3,-1.3109795087741993,9.97799668063782e-06,0.004554611415860109
BAIAP3,0.781036265955267,1.0267503173698185e-05,0.00460732451735016
TBKBP1,-2.2687953272183403,1.1190593638689319e-05,0.004937849443071662
SUSD2,-1.9879339512111462,1.1682947280759468e-05,0.005070590643575523
NR2F6,-0.9936697577231879,1.2241680128941163e-05,0.005101832089347685
TTC7B,-1.8990426654532513,1.2275236071594803e-05,0.005101832089347685
SYNGR3,-2.5356784375648864,1.2333040744787605e-05,0.005101832089347685
TBL1XR1,-2.090853574188266,1.2569526030846167e-05,0.00511966464102542
DNMT3A,-0.7749200413338659,1.2988792113886002e-05,0.005210276836592908
PPAPDC1A,-2.3338452481791676,1.3413020239561373e-05,0.00530014493794608
TFR2,-2.493626314166989,1.42214389830537e-05,0.005471709426237531
PFKFB4,-0.7323375038061073,1.4260545813423593e-05,0.005471709426237531
AES,-1.5859056503855111,1.4856716677970224e-05,0.005561240892259896
TNFAIP2,-1.4941180635914773,1.5318913205399417e-05,0.005561240892259896
FOXJ2,-0.7588388896817637,1.65023243251031e-05,0.005561240892259896
HIVEP1,-0.9504548678939386,1.6616794100611153e-05,0.005561240892259896
SH3BP2,-1.0632358751880098,1.6646315394451264e-05,0.005561240892259896
TPBG,-1.1723896342421671,1.6724955420304654e-05,0.005561240892259896
ADGRG1,-2.457241624487896,1.6931239890067088e-05,0.005561240892259896
GLI1,-3.3781575013843286,1.695061298499362e-05,0.005561240892259896
FAAP24,-1.3695845835954934,1.7001251973150656e-05,0.005561240892259896
NUDT3,-0.9746143294468919,1.7032590787073233e-05,0.005561240892259896
TTC27,-0.525051253612622,1.7171769087426555e-05,0.005561240892259896
ATP9A,-0.8767655545432511,1.741085256281636e-05,0.005561240892259896
JADE2,-1.6290915510048052,1.750368214485092e-05,0.005561240892259896
MYO15B,-2.2913027103488375,1.7623826949230596e-05,0.005561240892259896
AGBL5,-1.331833466961056,1.7644730309719782e-05,0.005561240892259896
TGFB2,-1.3587986651819541,1.796000070881468e-05,0.005594011985480808
PEG10,1.1921084050086286,1.8367053140502055e-05,0.005597618858910615
MSANTD3,-0.8832231840010163,1.839444157602355e-05,0.005597618858910615
SEMA3E,-1.4774151923592669,1.8695037872502148e-05,0.005624444632664709
HOXB5,-2.0203488409667916,1.8993180596695567e-05,0.005626008381527828
SLC4A8,-2.611910965374153,1.9144816494505723e-05,0.005626008381527828
DTX3L,-1.320261978422165,1.9572929084901575e-05,0.005626008381527828
KIF26A,-1.3077998589834925,1.981940858820979e-05,0.005626008381527828
FAM83H,-1.4893954948545822,1.990543818276416e-05,0.005626008381527828
PDE10A,-0.8204900502636416,2.012476134711978e-05,0.005626008381527828
ART5,3.1136151850983476,2.018775434353706e-05,0.005626008381527828
DLGAP3,-1.7597875960201739,2.041215442718399e-05,0.005629289463121834
SERPINI1,1.3622610214170994,2.064932008959396e-05,0.005635987106927837
JAKMIP3,-2.2010268763185397,2.0904881352223935e-05,0.005647517691838048
ARL4C,-2.1180345950888313,2.1645539773344504e-05,0.005674852724198858
KIF5A,-1.5327888403747147,2.1796228589979966e-05,0.005674852724198858
ANO9,-3.706865152446121,2.187035917065768e-05,0.005674852724198858
CNNM1,-1.3999977511348947,2.189692699616492e-05,0.005674852724198858
SH3BP1,-2.465559081357574,2.207780285524013e-05,0.005674852724198858
BRD2,0.986756997070275,2.2527044499663584e-05,0.005690562143377027
HSD3B7,-3.0606724158398624,2.262526754123966e-05,0.005690562143377027
BCAT1,-2.1425473365503267,2.2783742670366945e-05,0.005690562143377027
CLIC3,-1.5386446900914361,2.3591281102684622e-05,0.005744883957274998
KCNIP3,-3.561489390567152,2.3897200529700435e-05,0.005744883957274998
LAP3,-0.3370307352899129,2.3899851690385707e-05,0.005744883957274998
CASC10,-1.3551306739168725,2.4000837241755655e-05,0.005744883957274998
CC2D2A,-2.712234893151919,2.43319442664563e-05,0.005744883957274998
HIPK2,-1.2945366830934795,2.434470159672814e-05,0.005744883957274998
