gene,log2FC,p,fdr
ST18,-3.5863615348054663,4.6220853156804806e-07,0.010996940606180075
RASL10A,1.437206543777478,8.307414999947177e-07,0.010996940606180075
ANTXR2,-3.6701569304679573,1.9979505900339604e-06,0.01516643216420693
FGF5,-8.23782339631218,2.5165401888562746e-06,0.01516643216420693
LURAP1,-2.925322788980833,2.9248868188981852e-06,0.01516643216420693
AMPD3,-2.4992903035577827,3.6178711768088184e-06,0.01516643216420693
PAX2,-2.206855893306326,4.010010392802588e-06,0.01516643216420693
COL3A1,6.610254751360275,5.4348197976606295e-06,0.016765991753588585
NTN1,5.169210466951358,5.699487281673174e-06,0.016765991753588585
RNF128,-6.482270861027782,8.578588663877968e-06,0.021961922439916945
ITGBL1,-3.0338716706783853,9.124878067576446e-06,0.021961922439916945
ABLIM3,-4.180138356881103,1.1749907382899633e-05,0.023734720571317834
CACNA1D,-3.187974641333116,1.1818199378199342e-05,0.023734720571317834
SPRY2,-4.353387296107921,1.400965262365008e-05,0.023734720571317834
MYEOV,-4.047071592832135,1.4229660793951626e-05,0.023734720571317834
FN1,-5.0836588458413,1.565802876808552e-05,0.023734720571317834
PTX3,-2.9558745467507475,1.567153317869148e-05,0.023734720571317834
SDK1,-2.470843872709194,1.6136920501745837e-05,0.023734720571317834
SPARC,-3.0024231896733298,1.7214789287666914e-05,0.02398744981005166
PKIA,-6.221282175952761,1.9576297093147718e-05,0.02591412327705429
MFAP2,-2.6501717375375753,2.220577333352836e-05,0.027995135666912536
LONRF2,-1.7807637352389705,2.8035562410174047e-05,0.031789047263121616
WISP1,-8.082157056917715,2.999065201882621e-05,0.031789047263121616
PDE5A,-2.0160340418111886,3.074278782496718e-05,0.031789047263121616
CACNG7,-3.758560777448592,3.097410097908114e-05,0.031789047263121616
PLCH2,-4.723004355468541,3.1218705527522646e-05,0.031789047263121616
ELFN2,-2.782488469633802,3.3224104954192044e-05,0.03257808069119387
COL26A1,3.8511831345835663,3.671528811812421e-05,0.033341571375568826
CST1,-6.1337385707437155,3.7373533216098977e-05,0.033341571375568826
PXDN,-3.2749234743955737,3.778081742274088e-05,0.033341571375568826
UNC5C,-5.417625258728574,4.087567382054222e-05,0.033800107567903054
FSTL1,3.3233642643399,4.1791714447485805e-05,0.033800107567903054
GNAL,5.38185997124637,4.6190842896235824e-05,0.033800107567903054
LINC00261,-2.9183529526436347,4.7899747055980184e-05,0.033800107567903054
TSPAN18,-2.0016488855185885,4.875723160300399e-05,0.033800107567903054
ENPP1,-2.160751604180615,4.8805387591173394e-05,0.033800107567903054
RIMS4,3.109425612472923,4.9018002238277886e-05,0.033800107567903054
FBXO32,-3.9157549115435453,5.0262698035355145e-05,0.033800107567903054
SH3PXD2A,-2.8061671850681122,5.126019159455764e-05,0.033800107567903054
EPPK1,2.9968588419310764,5.15342298439744e-05,0.033800107567903054
NTSR1,-2.8422564287370466,5.234388707399529e-05,0.033800107567903054
LTBP2,-3.567069031718054,5.4223123718884786e-05,0.033959307698644935
PPP1R9A,-1.7808124641473784,5.594757818306417e-05,0.033959307698644935
PCDH7,2.9175841401374925,5.6438509489721514e-05,0.033959307698644935
MAFA,4.031077751760972,6.013281892298328e-05,0.03537814179968849
FILIP1L,-2.6512714399249706,6.229058625634803e-05,0.035850940676887266
CNIH3,-3.801916186346132,6.473974505928528e-05,0.036467760647756975
CD24,-1.980545476230942,6.916629892426946e-05,0.03695569439528119
CPPED1,2.801576615274757,6.987447885590015e-05,0.03695569439528119
TNFRSF11A,-2.7503909349967675,7.036011162196303e-05,0.03695569439528119
CDH18,3.8679307419973163,7.294179320997483e-05,0.03695569439528119
WNT10A,3.494791599119355,7.544085748111698e-05,0.03695569439528119
COL4A1,6.101239450452608,7.573535085694446e-05,0.03695569439528119
LRRC20,-2.2279530937776997,7.613514856101938e-05,0.03695569439528119
PCOLCE,-0.9651512686169186,7.76000126164579e-05,0.03695569439528119
DKK3,-3.1088954606523593,8.002381849109043e-05,0.03695569439528119
LRRTM4,3.5293108651187604,8.033705955754347e-05,0.03695569439528119
SOX21,-4.154492215939909,8.144214434179158e-05,0.03695569439528119
SNCA,4.144353519024507,8.235641055039055e-05,0.03695569439528119
WNT7B,-2.6355869139313626,8.709830116784794e-05,0.03820924143842385
EPHB2,-2.5111243770204155,8.803640142564137e-05,0.03820924143842385
TNS4,-6.385160327554143,9.320737143798735e-05,0.039180012976954184
RPS6KA2,3.332476330232298,9.586620150601052e-05,0.039180012976954184
TCEAL8,-3.0778104075121364,9.641125794499414e-05,0.039180012976954184
CDH10,3.0605241543107256,9.788597514000187e-05,0.039180012976954184
ADIRF,-4.8215033211812,9.92057445606411e-05,0.039180012976954184
TM6SF1,2.3371320132884414,0.00010019495424186364,0.039180012976954184
LOC100126784,-1.664188020846848,0.00010327225185757447,0.039180012976954184
CACNG6,-3.3589409603706075,0.00010761082197366103,0.039180012976954184
SUSD2,-2.7302604533540453,0.0001091458211937405,0.039180012976954184
GPNMB,2.8896082912754926,0.00010965459284742158,0.039180012976954184
GUCY1A2,-4.204172564831017,0.00010965771299243173,0.039180012976954184
FZD8,4.693598778707936,0.00011041580216206733,0.039180012976954184
C6orf132,-1.3775200218728951,0.00011195970110043933,0.039180012976954184
CACNG4,-3.0917016289357697,0.00011255858721856463,0.039180012976954184
SSTR5-AS1,-4.711237221195992,0.00011343051347696471,0.039180012976954184
CXorf57,-4.840882158663719,0.00011395131252976287,0.039180012976954184
H19,-1.6301567525438347,0.00011644266302547218,0.03922146301442555
LOC100288152,2.7671854685613093,0.00011703477160111874,0.03922146301442555
MAML2,-2.3456307057507626,0.00012006174853127708,0.03943241106061426
FOXC2,-2.7140036965332452,0.00012141272802049843,0.03943241106061426
