gene,jq1_log2FC,reversed
ST18,0.0,0
ANTXR2,-0.48489936735262784,0
FGF5,0.3422826907552359,1
LURAP1,-3.2027429640784817,0
AMPD3,-2.4151978463489137,0
PAX2,-1.8317088317196681,0
RNF128,-0.37096979396227203,0
ITGBL1,-2.2826803984869737,0
ABLIM3,-1.5845888055464936,0
CACNA1D,-2.6287727323378567,0
SPRY2,-0.28104532770397306,0
MYEOV,-1.575100159788133,0
FN1,-1.5761723492333157,0
PTX3,-1.161895474785286,0
SDK1,-1.5011099452853394,0
SPARC,-2.586117033392764,0
PKIA,-0.007960260758907989,0
MFAP2,-2.928347309955224,0
LONRF2,-0.7800711942719971,0
WISP1,-0.35045683545562506,0
PDE5A,-3.2670349746501666,0
CACNG7,-2.908946189299949,0
PLCH2,-3.6255672263041796,0
ELFN2,-4.231043720101795,0
CST1,-0.3340548703118718,0
PXDN,-4.265573431246944,0
UNC5C,-0.5387263749791753,0
LINC00261,-3.7732257020587743,0
TSPAN18,-2.8842482500883975,0
ENPP1,0.6212730138293097,1
FBXO32,-1.7312859312288267,0
SH3PXD2A,-1.6587563176445368,0
NTSR1,-2.0099129532769515,0
LTBP2,-2.0632096940449918,0
PPP1R9A,-1.5363562053430107,0
FILIP1L,0.233310688875509,1
CNIH3,-2.215441383993147,0
CD24,-1.4807244909138273,0
TNFRSF11A,-0.3587949018199019,0
LRRC20,0.19440129548646468,1
DKK3,-1.9279401308499624,0
SOX21,-3.7307009052164526,0
WNT7B,-2.393824961744114,0
EPHB2,0.08064369035871088,1
TNS4,-0.6671065818580759,0
TCEAL8,-0.36841665305787163,0
ADIRF,-1.927989301862453,0
LOC100126784,-2.1478444596496833,0
CACNG6,-1.8348658709216599,0
SUSD2,-2.1302717959895716,0
GUCY1A2,-2.3270688772972123,0
C6orf132,-4.540395737299898,0
CACNG4,-2.1274515749105314,0
SSTR5-AS1,-2.803854963474697,0
CXorf57,1.0556538411020138,1
H19,-3.3266797190702864,0
MAML2,-1.2072696781136898,0
FOXC2,-0.9217205619118953,0
THBD,-1.8373979126412967,0
SMIM14,-0.4733241235225183,0
CD55,-0.06939096564852587,0
ADAMTS15,-3.182961270622256,0
SOCS3,-0.782780141785274,0
PLEKHH2,-2.44173269886202,0
TMEM158,-0.5226817756259123,0
ADAM19,-0.5850025863712123,0
RHBDL2,-3.1965750435455575,0
ANPEP,-0.649325448314622,0
ELOVL6,-1.4952621249754963,0
TOX2,-2.1494266962885504,0
CAMK2N1,-1.5297423641062817,0
CYTH4,-3.4706123769904784,0
COL13A1,-2.3767835217476994,0
STAMBPL1,-1.0625933870479365,0
TSHZ1,-0.9752482327561696,0
RGS4,-0.20003944876756613,0
PTGIS,-5.0384434880046705,0
HIPK2,-1.6926576093920769,0
HDAC9,-2.263156350562155,0
MMP16,-1.2463073733452559,0
RASD2,-2.4134360360751472,0
AGR2,-3.6310140522532732,0
CACNA1G,-1.3315303926499844,0
STEAP1B,-0.3041192383981368,0
SHISA2,2.0628944094625328,1
C10orf10,-2.0517316606622673,0
VAMP5,-0.4428388909140484,0
ITGA10,1.1564951427028645,1
NCR3LG1,-0.39876107227776725,0
FHOD1,-0.09451965969647969,0
S100A16,-2.4764898149828243,0
TRHDE-AS1,0.0,0
LINC00886,-1.8026835457443369,0
AREG,-0.00026123523262500115,0
ZMIZ1,-0.6463338694926186,0
GRIN2A,-5.523813375241347,0
DIO3,-4.61282221108913,0
SH2D5,-2.667704144125284,0
TOR4A,-2.721670995832988,0
CREB3L1,-1.253704282825498,0
LGR4,-1.1681693602033683,0
NPW,0.3220761760761013,1
C20orf166-AS1,-2.0037071678301066,0
ANTXR1,-1.4959391293426982,0
THY1,-0.44361708224356455,0
LOXL1,-1.381840176210102,0
ITGA2,-1.4578495238692657,0
FFAR4,0.19522258352225758,1
RARRES1,-2.0015301629682276,0
ZNF711,-0.021714836342392907,0
AFAP1-AS1,-0.6741234870328414,0
GABRB1,0.0,0
CLDN10,-1.3321766374733763,0
MLPH,-1.8695734096441097,0
FAM109B,1.251275362166291,1
FAM43A,-1.1514994688894964,0
MMP2,-2.2105263926696272,0
TLR6,-1.1504057218055719,0
MKRN3,-0.7720783011622894,0
DNM1,-0.07039379959806347,0
KDF1,-2.1464966285794995,0
CES1,-1.9080276809263497,0
MT1A,-0.5765575364821922,0
CLMN,-0.7394832304852175,0
SMPDL3A,-0.15309011948416273,0
ARMCX3,0.6537341430792294,1
TRHDE,-0.6670241582751624,0
SCARA3,-2.673789665098284,0
LIN28B,-1.0486003494841611,0
CCKAR,0.0,0
SNORA61,2.5170251396899745,1
CPA4,-1.5353157388041343,0
IL17RB,-1.4102145232296985,0
STC2,-2.0146853011638566,0
TNC,-2.390755241962192,0
NALCN,-1.1996706246802873,0
EFNA5,-1.6705695245629943,0
AGFG2,0.11097361088829594,1
PRKCG,-0.765875574886274,0
AQP7P1,-0.6668093941503658,0
TSC22D3,-2.215731506057007,0
AKAP12,-0.8360530872848084,0
BMP6,0.003464409324236861,1
NAV1,-1.0233022450256026,0
ASIC2,-2.0055976255849255,0
S100A13,-1.0383557016398344,0
GABRA4,0.0,0
TRPM8,-3.1025455869847063,0
LINC01468,0.0,0
WDR66,0.7442737883393367,1
PDLIM1,-0.8178131067309096,0
HCN1,-1.056937461457405,0
NID2,0.33310081995870494,1
CHDH,-1.1043217255080906,0
LHFPL1,0.0,0
SPNS2,-0.6097922794486061,0
ARSI,-1.506704397527078,0
SIPA1L2,1.5338041106105917,1
CIART,-1.5763630255539829,0
NPR3,0.10745578316521076,1
NPEPL1,-1.1550196131001398,0
KIAA1549L,-0.793644822822273,0
AXL,-0.7852910162068394,0
ACOT12,-1.057290089178525,0
GEM,-1.0921861782529394,0
SMIM3,-0.5330032301845593,0
GPRC5C,-1.5932839887448402,0
FRMPD3,-2.470359728387545,0
LOC100133091,-0.9788085729283562,0
FAM212B-AS1,-2.906254883864074,0
MGST2,-1.1188645613645072,0
EREG,-1.7238785829840124,0
JUN,0.12346329835977521,1
DTX2P1-UPK3BP1-PMS2P11,-0.5539997225648383,0
ARMCX6,-0.19306931477613887,0
SFRP1,-0.7488325347521938,0
CCDC181,0.9219407791594634,1
FLVCR2,-1.5204474612334877,0
TRPA1,-0.8621098233254256,0
ATP6V0A4,-0.1392890854918052,0
FOXL1,-2.0550189176597318,0
NT5E,-0.1708014525789956,0
NKX6-2,-2.744306622409439,0
SGK223,-0.8585754975578883,0
FGFBP3,-0.0012660260713581728,0
KCNK6,-0.7993955324937367,0
ALPPL2,-1.544425560231526,0
CACNG2,-0.6669518842568092,0
GRHL3,-2.8265731246537835,0
ITPR1,1.3994699714175276,1
GRIN2D,-3.27045069025043,0
ST3GAL1,-1.8121792618866053,0
FOXF2,-2.158412910756777,0
SLC4A11,-1.9017863164126751,0
FADS2,-1.4004778643156097,0
TSPAN13,-0.22698023383217425,0
NNT,-0.04725835871478701,0
LOC286297,-1.0000140119073107,0
PLEKHG4,-1.9773342273986145,0
STK32B,-1.8901980153437075,0
IGSF1,-1.0205673222839027,0
SMOX,-0.30618056790242854,0
CD22,-1.7173336394809806,0
TLR4,-0.3383596206948678,0
IGFBP1,0.0,0
RNF144B,-1.3435289197516576,0
TMSB15B,-0.9801725328473561,0
INHBA,-0.3333851867521071,0
ALPP,-1.2264086572929838,0
LUZP4,0.333128724903233,1
ITGA3,-0.7821944422873752,0
TRIB2,-3.2073746348759498,0
LRRC61,-0.7190826403558797,0
HS3ST1,-0.5283882635397004,0
ASB2,-1.4413686743155976,0
ADAMTS10,-2.076258344858386,0
SFMBT2,-0.570055860337173,0
MICAL2,-1.5459206452045677,0
CYP2S1,-1.4977956732075839,0
CYP2B7P,0.0,0
KCNMA1,-1.2882439936582326,0
LINC01123,-1.1501074925128938,0
SLC14A1,0.0,0
DNAJC22,-2.1262547215407346,0
ST8SIA4,-1.116136887758623,0
IGFBP6,-1.5925872739997322,0
CNTNAP3B,-1.170458838390127,0
SUSD1,-0.15995706913192986,0
ASB4,-0.386704936340116,0
LOC101927919,-1.7748616652408886,0
CSF1,-2.2383780251474867,0
NPAS2,-1.5665807127332396,0
SH3PXD2B,-0.5606382994590202,0
CXCL6,-2.3222312768510833,0
CLU,-0.6137065255032237,0
KRT80,-3.3113326987959457,0
TPPP3,-0.8644981758051,0
LTBP3,-1.7335028971358337,0
PAPPA,-1.4410489594173985,0
DRD1,-1.0568115512991072,0
PLAG1,0.4152734897867827,1
PRSS23,-0.6627385935514027,0
SLC6A15,1.3587438437947146,1
CALHM2,-1.240947173239445,0
TGFBI,-0.3726325159282897,0
MEGF6,-0.6768672914093177,0
ZNF785,-0.36613477262631555,0
SHH,-2.422632946039694,0
SLCO4A1,-1.6394478541359945,0
LOC102724094,-3.9017103204401273,0
LOXL1-AS1,-0.4453138682157691,0
PAQR8,-1.3914087006220628,0
LAYN,-1.44069794552246,0
IFITM2,-2.6109568053246504,0
CCNYL2,-1.052326810238795,0
CCDC88C,-1.1820210550880335,0
FANK1,-0.13246710831401032,0
PSD3,-0.06687490196807211,0
CYR61,0.8574136723644941,1
ZBED6CL,-1.5356987655107637,0
IRAK1,-1.4964278747029809,0
FGFRL1,-0.6697218612160807,0
TIMP1,-1.1873638786775231,0
GPRC5A,-1.056293708655339,0
PLAUR,-0.9211340884873964,0
RAB17,-2.1175230915262455,0
TMEM132E,-2.0539821443559756,0
SEMA4B,-1.1922644142115217,0
ABTB2,-0.39536459640134325,0
LTBP1,-1.4989218188852815,0
TMEM25,-0.3339081072813448,0
CTNNA2,-0.8435591304484594,0
IGFBP3,-2.700602500951391,0
KRT8,-1.2760150978264946,0
FAAP100,-0.6854787867649836,0
TRNP1,-0.7470980753346144,0
KLHL13,-1.243412882311822,0
C8orf46,-3.5330559824044885,0
C16orf45,-0.722546886280238,0
KIFC3,-1.6940051331623414,0
SPRY1,-1.7688091722228156,0
EEPD1,-0.4048455806539035,0
NHSL1,-1.1784556519264653,0
STAC,-0.7061803106340179,0
ANK1,-2.0510025515496366,0
ITPRIP,-0.9618180086226147,0
ACOX2,-2.9288988458501937,0
GAB2,-0.9023716185457147,0
GJB2,-4.247165813717628,0
B3GNT7,-4.156005820043154,0
FUZ,0.4352840915639984,1
GNA15,-1.756870058008551,0
TNFRSF21,-0.18891822171524453,0
HTR1D,-0.9615004489836627,0
TBC1D8B,-0.7552577921525616,0
KRT81,-2.5027934090871926,0
CACNG8,-1.789362477928342,0
PRKG2,-0.607210123693058,0
SYTL5,-3.536246134786875,0
ZNF772,-1.1368573885546294,0
TBC1D4,0.040572037023089536,1
ANKH,0.07068272854419444,1
SP2-AS1,-0.4207540723676839,0
TMEM51-AS1,-3.2670795718153114,0
RASGRF2,-2.210728184649609,0
SLC20A1,-0.8335227871677855,0
RAB42,-1.4264784391757217,0
CITED4,-0.7535748292862143,0
PLXNA2,-1.7677389076678194,0
TNIK,-0.33551660280449624,0
KLF12,-0.8770792899484725,0
KMO,-2.6687445489797734,0
NLGN1,0.8615040921646719,1
BEGAIN,-2.7284364232052907,0
IL6R,-0.8478187459602964,0
DNER,-1.4907008481827448,0
TMEM246,-0.3928350081004961,0
TSPAN5,-0.006815006388233513,0
P3H2,-0.22626064766289922,0
PAPL,-4.791222981964437,0
NGFRAP1,0.024757844714928368,1
ZFPM2-AS1,0.41207030038842163,1
HAS3,-1.2286533406491449,0
EFNB2,1.8626307753960623,1
DENND2D,-3.242384664376982,0
LOXL4,-0.6130024808514545,0
SYN3,0.0,0
IGDCC4,-3.5462600148105983,0
ITGB5,0.34197138378631387,1
PHF19,-1.367936728704528,0
MAML3,-0.6631440804961404,0
GALNT18,-0.07698122247329842,0
ALDH1A3,-0.693919916208154,0
FOXA2,-1.7365189691720389,0
PLIN4,-2.455348845072136,0
CNTNAP3,-1.032953637880281,0
KRT19,-2.845935330362927,0
EML6,-0.06991409681145377,0
MXD1,0.6598809853931158,1
ARHGAP18,-0.41328399425303086,0
DOCK4,0.49152578160870597,1
ZNF843,0.11179694214822433,1
TEAD2,-0.7314339913224863,0
KCNE3,-0.666915318763726,0
HSPG2,-0.8170894018068271,0
OSR1,-0.9185832994671896,0
IL27RA,-0.6745435783840605,0
DUSP1,-0.10369080104503858,0
PHC2,-0.27435088727447443,0
SLA,0.0,0
SLC1A7,-0.00017735738104407428,0
ARHGEF6,-1.8283144462657148,0
INHBB,-2.730159114767439,0
LXN,-3.548556331254174,0
SCNN1A,-1.268896651987259,0
SGIP1,-0.33830870345983405,0
RET,-1.9533911991647113,0
ADAMTS1,1.042979851620243,1
STX1A,-0.3484690283562202,0
CYP1A1,-1.9104496873357122,0
AQP7P3,-0.7718635933002083,0
TIAM1,-1.80812363221228,0
AFAP1L2,-0.39995393380819166,0
TSPAN15,-1.4561142471331934,0
HDAC7,-1.4103669919432527,0
KCNQ5,-2.77595725275575,0
SCUBE3,-2.401113898171424,0
EYA1,-0.628512351753759,0
MSX1,-0.47174507591992576,0
LAMA4,-1.8947609155761498,0
SOGA3,-3.236702843194346,0
ZNF496,-0.6762832977584958,0
RRAD,-1.218435512920839,0
PTGER4,-0.6041168816165223,0
TPCN1,0.012692938513625407,1
SOBP,-0.12388555547508329,0
SORL1,-1.4524108827142825,0
PNPO,-0.4674921331031543,0
KIRREL,-1.0794891511218232,0
WNT5A,-2.090789413704389,0
CYP4V2,-0.766303754690032,0
ENG,-2.64232930345616,0
STEAP2,-1.4523456453351358,0
ZNF747,-0.9087474867925458,0
TSPAN1,-3.6242827923401864,0
DHRS3,-2.009063372753504,0
DKK1,-4.78849241643995,0
FAM95B1,-1.6230621741275781,0
ERGIC1,-0.9600141527797401,0
PLEKHG6,-1.1117537078682886,0
RAP2B,0.18598521874715956,1
TRIM46,-2.4725140054174433,0
PON3,-0.8627989890005405,0
HAS2,-3.7152208238831586,0
MEST,-1.2024767272387171,0
WLS,-1.529916042841288,0
DACT2,-3.547373412600216,0
P3H3,-0.6694205400674411,0
PRRT3,-0.22558488120761044,0
ARMCX1,-0.10777985778664245,0
MOCS1,-1.5202085164290295,0
STMN3,-2.931381628760387,0
DCBLD1,0.5034384491892165,1
FAM198B,-3.1356758397309683,0
CAMK1D,-2.508239191775819,0
ZNF561-AS1,-0.2684362999682728,0
TGFBR2,-1.0027384346409374,0
WSCD1,0.28615908258880474,1
GJA1,-1.8873932042361767,0
HMGA2,-1.3710860994402214,0
PRUNE2,-2.821638961881729,0
PITPNC1,-0.6344495936954226,0
PRKCDBP,-0.2540301911979901,0
CACNA2D1,-0.7812571422114525,0
C3orf52,-0.0623891231454925,0
CDK15,-1.633703199917321,0
EFCAB2,0.3012018404500001,1
RGS17,-1.1578677314309784,0
FERMT1,-1.6052868457254301,0
ISL2,0.10706276072704823,1
FAM46C,0.6104156292998244,1
SPRY4,-0.15483092171287183,0
STRA6,-1.666802161962063,0
FLI1,-1.435932620415827,0
TNFRSF10D,0.379073377126236,1
SPATA31A7,0.0,0
PLA2G7,0.3399945727063099,1
MALL,-1.2751525037210598,0
PGF,-0.42730058184481745,0
URAHP,-1.36226189749303,0
TCEAL3,-0.5260675624048297,0
TM4SF18,-5.369441447574394,0
SH2D2A,-1.0896446875578851,0
IGFBP4,-0.7479781243580224,0
EPAS1,0.08203764131619096,1
CPNE4,0.0,0
ZMYND12,1.1510362106794574,1
GAMT,-0.45736805821956317,0
LMTK3,-1.0921288096033592,0
KAZALD1,-2.1144415136246213,0
SSFA2,-0.022304576691425382,0
RAB27B,-2.2740279498495046,0
ABLIM1,-1.1783283002145808,0
DUSP6,-1.0062599882225616,0
UBASH3B,-1.3479051713577928,0
FOSL1,-0.36338486232370215,0
ADGRF5,0.0,0
PDE6B,-0.8625864196162913,0
NRROS,-2.275341477032052,0
CACNA2D4,0.0,0
CTHRC1,-0.7352683391048913,0
CD59,-0.13944190652213706,0
LRRC56,-0.6122482941805298,0
DENND3,-0.31480985041705,0
NAV3,-2.0421736702673146,0
ITPKB,-3.1447683648801448,0
GALNT1,0.598772089232213,1
CTF1,-0.847875293014809,0
KCNN4,-1.6376885613146879,0
MT1L,-1.0336590622524557,0
VSIG1,-0.333858805599075,0
F12,-1.7749231367596572,0
GRK5,0.2627895489031751,1
SDR16C5,-1.6363072141021875,0
GALNT16,-1.2413575427809027,0
FOXQ1,-1.7260214218992829,0
B3GALT1,0.0,0
FRAT1,-0.556722071151647,0
CEACAM6,0.0,0
CAMK2A,-2.0042874665595654,0
PRR34-AS1,-1.7820089357703877,0
SYT9,-0.39047705713865,0
UGT8,-0.7243911161188534,0
CTGF,0.4076980141899753,1
ZNF503-AS2,-1.599176178368499,0
ZADH2,-0.49256520397897496,0
SYT17,-1.6245103599203983,0
DPF1,-1.6051244223576075,0
MAMLD1,-0.6618322723822612,0
CHMP4C,-0.9390878315044064,0
ARMCX4,-1.2211008821567724,0
NRIP3,0.8156756241217202,1
SPTSSB,0.0,0
PODN,0.3519223472621565,1
LAMC2,-1.9868863525384732,0
DNMBP,-0.24721438035852294,0
CHST15,-0.06621372293884864,0
TM4SF1,-1.285873588042369,0
ROR1,-0.6763562867163904,0
TRIML2,-2.8114744483623415,0
CLEC2B,-2.8674430427200526,0
RAPGEF3,-2.3912412292719205,0
SPATA13,0.38078281960928706,1
LOC100129034,-0.6432227642137578,0
PEAR1,-2.437341730525903,0
CARD11,-0.33363405567859306,0
NRP2,-1.1814353114163483,0
PPP1R14A,0.002095347172218709,1
AFF3,-1.2483716958034927,0
LAMB1,-1.4843618044325986,0
ASPH,0.3651718447257508,1
EPS8,0.6169195140520554,1
ATE1-AS1,-0.9137484845757691,0
SFXN3,-0.12215508770735894,0
F2,-0.859350793805413,0
FZD7,-0.17873296662824067,0
MX2,-0.712675043004003,0
NAV2,-1.0016137113067662,0
SPRED2,-0.016027599240295842,0
EOMES,-2.6760626396400764,0
SNHG24,-1.5843406673256006,0
BCAM,-0.857206881182698,0
B3GNT3,-0.5286705215827439,0
CCNJL,-0.992728323581348,0
