gene,jq1_log2FC,reversed
RASL10A,-1.4820501462505398,1
COL3A1,-3.0755510902957752,1
NTN1,-0.6656999556189938,1
COL26A1,-0.9871769623467461,1
FSTL1,-0.5403755147024416,1
GNAL,-1.34346405757916,1
RIMS4,-0.6105116847924332,1
EPPK1,-0.6325943973855743,1
PCDH7,-0.3245220686228265,1
MAFA,-1.0025304341725167,1
CPPED1,-0.17469131659024129,1
CDH18,-1.1343025373418083,1
WNT10A,-3.440254700387535,1
COL4A1,-0.4753690769560013,1
LRRTM4,-4.297005917565972,1
SNCA,-1.4683865830303375,1
RPS6KA2,-0.96860916744469,1
CDH10,-1.7548148616945785,1
TM6SF1,-1.5646395896064065,1
GPNMB,-2.535528854513168,1
FZD8,-2.3545380327434664,1
LOC100288152,0.006011461025980935,0
HCK,-2.7140893531607,1
SGK1,-1.4493239373014966,1
LINC00173,-0.6976493332142697,1
BMP5,-1.0460424431729152,1
LCN2,0.27333295412735925,0
BMP7,-1.445139700251632,1
CCM2L,-1.2666780060289327,1
C1orf115,-1.253016625731374,1
JPH3,-2.672475461719811,1
GRAMD3,-0.5653154516126504,1
DSP,-0.23002343507569023,1
TDRD5,-1.188061379386295,1
IGF2,-2.4715689891348482,1
SEMA6D,-1.1104283791614342,1
AIF1L,-0.8115043564362381,1
HLA-F,-2.19019577089622,1
CHST11,-0.6204248688486675,1
SLFN5,1.20724614193918,0
KIF5C,-0.5553765798358379,1
HOXC12,-0.5228777839777985,1
ALDH8A1,-2.0256066175975724,1
EFHD1,-0.7973794069397897,1
C14orf132,-1.0327428626268587,1
ALDH1A1,-1.9805531003419157,1
KREMEN1,-1.801595269125377,1
CD74,-1.847515457083282,1
COL7A1,-1.2989845289392434,1
SLC6A3,0.21783057567285136,0
APBB1,-0.3808644741120606,1
PRRX1,-2.8725422056091308,1
TCF24,-2.11409218037722,1
MYL9,-2.409353073022837,1
HAGLR,-1.150448295932616,1
TINCR,-1.6387654019713054,1
IRF5,-1.9397274145355201,1
LOC101929633,-1.6793132337424623,1
FAM132A,-3.5670176375002223,1
DNAJC6,0.6296001083716138,0
SLFN11,0.6985264187283153,0
SREBF1,-0.901776184953059,1
LIMS2,-1.4532011642814107,1
SLC38A11,-1.6046175908465994,1
TAP1,-0.7576878997021126,1
SCARB1,-0.5714551410730024,1
ANO9,-4.519606479670279,1
CNGA4,-0.4412242773631969,1
GALNT14,-1.5654622354865415,1
KIT,-1.3127085382903996,1
CDK5R2,-0.35366411899495453,1
CHRNA4,-3.611675426472943,1
KCNK2,-2.1929917421029024,1
MATN2,-0.33538791835816184,1
CRTAC1,-0.27120881104182626,1
DLX3,-1.6327451297468816,1
EPHB3,1.3451728318197809,0
CDH23,-0.2751561498499129,1
SLC16A2,-0.8487591656553839,1
KIAA1644,-3.4068632026277985,1
RASGEF1C,-0.743577110217359,1
PCDH9,-1.5018469092289326,1
CHRM4,-1.3171799102110313,1
KIF1A,-0.36199560659126995,1
ACSL1,0.5856667769383854,0
CORO2A,-1.9921917747461668,1
ARFGEF3,-0.9039738075588541,1
TPPP,0.2624974885133362,0
NCAM2,-0.0004545840442755633,1
ELF3,-0.7880956037509943,1
ITGA7,-0.2422145771055062,1
PARD6G,-1.3020757687276339,1
SYT3,-1.6502926363511383,1
C8orf48,-0.5913192639221894,1
PODXL,-1.1305357314999487,1
