gene,otx_log2FC,reversed
ST18,0.0,0
ANTXR2,-0.40858466992490516,0
FGF5,-0.33401784407692703,0
LURAP1,-3.397450395775296,0
AMPD3,-2.6814056155430293,0
PAX2,-1.7084231219024222,0
RNF128,0.16083984315882427,1
ITGBL1,-2.8309738231107304,0
ABLIM3,-1.2168001727661997,0
CACNA1D,-3.013055949414607,0
SPRY2,-0.44125425944927965,0
MYEOV,-2.3369945396354326,0
FN1,-1.7584887644853335,0
PTX3,-1.0773973615674506,0
SDK1,-1.3076657310364368,0
SPARC,-2.3408031875085524,0
PKIA,0.44288829719608885,1
MFAP2,-2.869704487177367,0
LONRF2,-0.7448431076899018,0
WISP1,-0.35045683545562506,0
PDE5A,-3.045868279380209,0
CACNG7,-2.843546850047366,0
PLCH2,-3.8928319704291687,0
ELFN2,-3.532522363885116,0
CST1,-0.3334733269549396,0
PXDN,-4.070506325903718,0
UNC5C,-0.9150371153049845,0
LINC00261,-2.6474467332348013,0
TSPAN18,-2.8012382489820764,0
ENPP1,0.6244996124603723,1
FBXO32,-1.7247278936960817,0
SH3PXD2A,-1.6166487008845953,0
NTSR1,-1.6963418399292873,0
LTBP2,-2.0830936525268244,0
PPP1R9A,-1.4331602747606667,0
FILIP1L,-0.3182890635583391,0
CNIH3,-2.8821591305348626,0
CD24,-1.2601175549169827,0
TNFRSF11A,-0.3639329974697221,0
LRRC20,0.16985005987324797,1
DKK3,-1.9029825660290465,0
SOX21,-4.5925640160859,0
WNT7B,-2.2373413947390572,0
EPHB2,-0.07571391943151973,0
TNS4,-0.6671065818580759,0
TCEAL8,-0.5749721125862148,0
ADIRF,-2.454411550130932,0
LOC100126784,-1.5444779416037053,0
CACNG6,-1.7630392367244978,0
SUSD2,-1.9879339512111462,0
GUCY1A2,-2.767503760780843,0
C6orf132,-3.65256266750901,0
CACNG4,-1.8202548905262024,0
SSTR5-AS1,-1.8039133088372934,0
CXorf57,0.9448187595875122,1
H19,-3.2170601445564753,0
MAML2,-0.7604436496787583,0
FOXC2,-1.7208189120546544,0
THBD,-1.2220921601154981,0
SMIM14,-0.38731384396601776,0
CD55,-0.23569208035370703,0
ADAMTS15,-2.4089549356623134,0
SOCS3,-0.8849751039131171,0
PLEKHH2,-1.8076504301405736,0
TMEM158,-0.8101639674436187,0
ADAM19,-0.3225885664804249,0
RHBDL2,-2.050644155957385,0
ANPEP,-0.4758921356923711,0
ELOVL6,-2.365954926183057,0
TOX2,-1.7484128289073944,0
CAMK2N1,-1.6111874541179487,0
CYTH4,-3.665905128334516,0
COL13A1,-2.374301131047139,0
STAMBPL1,-1.237260347939535,0
TSHZ1,-0.7831943371186547,0
RGS4,-0.5474312275121819,0
PTGIS,-3.843575311865524,0
HIPK2,-1.2945366830934795,0
HDAC9,-2.087975217437129,0
MMP16,-1.1100723488355513,0
RASD2,-2.7780540752136305,0
AGR2,-3.5602130924043314,0
CACNA1G,-1.0852803040638017,0
STEAP1B,0.24777206011645259,1
SHISA2,0.9608935792573359,1
C10orf10,-1.8377687424949762,0
VAMP5,-0.5389417272738628,0
ITGA10,-0.4451375435766187,0
NCR3LG1,-0.2686710786180697,0
FHOD1,-0.22143424955111612,0
S100A16,-2.290362267943249,0
TRHDE-AS1,0.0,0
LINC00886,-1.4687938929531463,0
AREG,-0.00023840054430362967,0
ZMIZ1,-0.504224778207174,0
GRIN2A,-3.8313310298043226,0
DIO3,-4.946166416903973,0
SH2D5,-2.3943682119867047,0
TOR4A,-2.478100115818746,0
CREB3L1,-1.3107303353982225,0
LGR4,-0.9641078874277094,0
NPW,-1.0603623035100977,0
