gene,otx_log2FC,reversed
RASL10A,-1.395978964535824,1
COL3A1,-2.8666316967316305,1
NTN1,-0.7069088722572303,1
COL26A1,-0.8914756756167908,1
FSTL1,-0.5432058555265087,1
GNAL,-1.2653853114125386,1
RIMS4,-0.536233443246239,1
EPPK1,-0.5743035860380239,1
PCDH7,-0.06425494214292193,1
MAFA,-0.8195189292540626,1
CPPED1,-0.05586425973969433,1
CDH18,-0.7878953894519984,1
WNT10A,-3.0005244275363596,1
COL4A1,-0.3087382124087146,1
LRRTM4,-3.1367772708080084,1
SNCA,-1.2174896305057636,1
RPS6KA2,-0.8862565748120037,1
CDH10,-1.5370496978316925,1
TM6SF1,-1.9504355995336389,1
GPNMB,-2.4528095106095575,1
FZD8,-2.415601731758657,1
LOC100288152,0.13147022992935398,0
HCK,-3.1845937248843654,1
SGK1,-1.2014042998191599,1
LINC00173,-0.7080459732657527,1
BMP5,-0.6786574064223334,1
LCN2,-0.3033165129641553,1
BMP7,-1.4998510525469149,1
CCM2L,-1.302913863372071,1
C1orf115,-1.5445479750148214,1
JPH3,-1.9139225355956953,1
GRAMD3,-0.5814096398443072,1
DSP,-0.21133200858286827,1
TDRD5,-0.9475337657319098,1
IGF2,-2.2272117076419207,1
SEMA6D,-1.376930032441148,1
AIF1L,-0.8819686176300117,1
HLA-F,-2.0891640544131755,1
CHST11,-0.5570375219915373,1
SLFN5,1.0619873497566399,0
KIF5C,-0.6066432190243356,1
HOXC12,-0.4648557366797492,1
ALDH8A1,-2.725319865296759,1
EFHD1,-0.9995544852148939,1
C14orf132,-0.8932678590550314,1
ALDH1A1,-1.6275198391356387,1
KREMEN1,-1.7191708129505487,1
CD74,-1.5686382514806398,1
COL7A1,-1.0706318063044158,1
SLC6A3,-0.4863657295715611,1
APBB1,-0.683829796105103,1
PRRX1,-2.3312735247044793,1
TCF24,-1.9190862168856868,1
MYL9,-2.3370381379228746,1
HAGLR,-0.9150073554975293,1
TINCR,-1.29641951569499,1
IRF5,-1.82159678143947,1
LOC101929633,-1.2846707454000312,1
FAM132A,-3.5622878600741377,1
DNAJC6,0.5896354177174778,0
SLFN11,0.5025329516751373,0
SREBF1,-0.6648775680640178,1
LIMS2,-1.3690972998956141,1
SLC38A11,-0.6670998257072203,1
TAP1,-0.9306893708580244,1
SCARB1,-0.5149602697451474,1
ANO9,-3.706865152446121,1
CNGA4,0.05411312219799447,0
GALNT14,-1.167470939598477,1
KIT,-1.0511915681243114,1
CDK5R2,-0.501483718400408,1
CHRNA4,-3.07657652032925,1
KCNK2,-1.8067268492289301,1
MATN2,-0.2319503215264156,1
CRTAC1,-0.5157302863577016,1
DLX3,-1.2611462342951043,1
EPHB3,0.955587484186406,0
CDH23,0.0037364562591157835,0
SLC16A2,-0.7090401925718766,1
KIAA1644,-3.0740693547551023,1
RASGEF1C,-0.7351545406357376,1
PCDH9,-1.2807708485925566,1
CHRM4,-1.2179327690541024,1
KIF1A,-0.3196186455155132,1
ACSL1,0.41263247993118135,0
CORO2A,-1.9983989078629465,1
ARFGEF3,-0.9679726426737272,1
TPPP,0.15765725377492146,0
NCAM2,0.1440156388524514,0
ELF3,-0.4219101802856162,1
ITGA7,-0.48374009850124366,1
PARD6G,-1.0537862729456071,1
SYT3,-0.965895999241202,1
C8orf48,-0.3549909096569346,1
PODXL,-0.960143463763826,1
DAPP1,-0.6672512189785672,1
ZNF618,-2.459010908178982,1
SLC15A3,-3.356142019568822,1
FLT1,-1.909242675819568,1
KCNK1,-2.5214591563644975,1
CACNA1H,-1.1198784025988697,1
IL34,-2.9759384705364953,1
GABRD,-2.0980767009957066,1
SLC7A5,-0.7823953941445865,1
ROR2,-0.4248592584413835,1
NTNG1,-2.6367636879365786,1
TP73,-1.1145618803892283,1
SHROOM2,-0.6191573820253069,1
LOC100507639,1.9828623601493502,0
ZFP36L1,-1.5803881404545326,1
TENM3,0.20919893400914447,0
HLA-DQB1,-1.1862232856653399,1
BLACAT1,-2.164768978540782,1
IGFBP7,-0.6121481560289297,1
RAB9B,-0.3368026110465685,1
ASS1,-1.471420414329688,1
HMOX1,-0.3898603971926402,1
TUB,-0.5471609260088712,1
LRRC16A,-1.3757034728295912,1
DFNA5,-0.930167041605471,1
FZD3,0.04891306376088522,0
CECR2,0.042724760873978695,0
ARHGAP8,-1.4165778491521763,1
LINC01010,-2.4966828825149667,1
IGFBPL1,-0.24571835903304873,1
PHGDH,-1.5268885254002065,1
SIMC1,-0.593982033378067,1
PPAPDC1A,-2.3338452481791676,1
STYK1,-1.1207453651425583,1
PARD3B,-1.2157162580579826,1
FGFR3,-0.576733262865007,1
DENND2C,-0.02380744548665259,1
PLCG2,-0.042199418369692765,1
BTG2,-0.32476625606316567,1
LUZP2,-0.4117917312047341,1
HR,-3.1859133431581785,1
TMPRSS2,-1.7199758568381256,1
RAB11FIP4,-2.1577055945708654,1
COL5A2,-0.06268504685407983,1
SLC22A23,-0.14810317216973345,1
ARC,-3.3776284985243943,1
DUSP15,-1.4790232110167105,1
MROH6,-2.4238341984483283,1
MMRN1,-2.4950282620124686,1
ID4,-1.1841016578746277,1
OSBPL3,-0.47940438551256115,1
TESC,-1.703718615232388,1
COL11A1,-0.7045016732395908,1
ASPHD2,-1.4417585143330767,1
CYP46A1,0.19895838729826654,0
GAS6-AS2,-0.6601881932282865,1
RNASEL,0.10516356642078417,0
CRYAB,-1.0156513908375482,1
CXCL11,-1.265722234290414,1
HHIPL2,-2.2212399143828945,1
GPR137C,-1.0765651076192198,1
IQGAP2,-1.342182139846149,1
NDRG2,-1.674770942974476,1
LRFN1,-2.218486621954902,1
VASN,-0.231437354450307,1
IGSF3,-0.508165246023383,1
SAMD9L,-2.3573421439306825,1
GPR156,-2.194367094172599,1
AHRR,-0.619854762844394,1
LAMA5-AS1,-1.030871707873007,1
LOC101927746,-0.9938643536073357,1
ADA,-1.408559318476998,1
CLSTN3,-1.881072784189648,1
CKB,-0.038662563811847406,1
FAHD2B,-0.06780782357774129,1
KCNJ4,-2.0440071050446162,1
PLEKHG4B,-2.660231762867359,1
MAFB,-3.0560666414117454,1
H2AFY2,-2.057589430365236,1
SYNDIG1,-0.805558832857433,1
USP43,-1.1491301892734915,1
PRRG4,-0.9518423503795939,1
DLX4,-1.923819556972986,1
JAG2,-1.1464771752667868,1
PDK3,0.0048324405271564785,0
CCL5,-1.7577283173920986,1
C18orf8,-0.10239535634521246,1
PCSK1N,-0.20189849465941911,1
TTC39C,-0.7429138729843956,1
KAZN,-1.0406597321592246,1
DUSP16,-0.4157633695360534,1
COL6A2,-1.146688599854059,1
FOXF1,-2.2269174130404297,1
ATF3,-0.19591009409656124,1
ULK2,0.04706564180109041,0
HSPA12A,0.16322291285231927,0
PTPRN2,-1.5377281144474502,1
GRB14,1.0404498746791333,0
LINC01351,-1.2753239856385434,1
ST3GAL6,-0.28941507220570717,1
IFI6,0.19350485087799107,0
NIPAL2,-1.2090350525958975,1
IL15RA,-1.3838752272423234,1
KCNK15,-2.2730552527773744,1
SORCS2,-0.8325518363953321,1
CXCL16,-1.7482240798904742,1
TUBB2B,-0.049627067967293215,1
PPP4R4,0.13634543295300805,0
CNKSR1,-1.805009314323791,1
MAP2,-0.795327352440367,1
GK,-0.525131373662969,1
WIPF3,-1.1591081706639113,1
KIF26A,-1.3077998589834925,1
CCDC144CP,-1.259322854327285,1
SHROOM3,-1.0240354535477936,1
GPC1,-0.7200891517987973,1
ZFX,-0.7983985918576337,1
VSTM4,-1.0855187909814368,1
EPHA10,0.49954162847493677,0
SEL1L3,-0.7540833055415632,1
HS3ST6,-0.8907728304808398,1
LOC102723927,-0.3447805232312309,1
PDZD4,-0.8769866008212777,1
HRK,-0.15019960489560447,1
ESPN,0.09439597185009774,0
DUSP8,-2.478335241556846,1
TMEM200B,-1.8967964866438658,1
PHF24,0.48265730675257457,0
EPB41L1,-1.8234757633853587,1
CNTFR,-0.7532557242989135,1
C2CD4B,-0.3334550156510232,1
GRIK3,-3.1889677671551717,1
LOC100130587,-2.3909118115707377,1
ZNF608,-2.360849550971148,1
PMP22,-0.49710436559740145,1
USP18,-0.6833760978855228,1
ZDHHC8P1,-2.296235620164195,1
PSMB9,-0.7797844198516639,1
TMCC3,-0.4658843011855742,1
ELOVL7,-0.625572735717979,1
COL5A1,-0.6881783767372234,1
XAF1,-3.052119996705269,1
TSPAN33,-0.20953214395680675,1
PCDH1,-0.06702021424301208,1
SLC9A3,0.14286284038836783,0
KCNG2,-1.0567298601310142,1
SCN2A,-1.667862599474164,1
HDHD1,0.05217058909951078,0
B3GNT4,-0.8276135180534414,1
ADRA2C,-1.5041781657000994,1
GPC4,-1.6987783552250244,1
RASEF,0.01809249784089495,0
CACNA1B,-1.2158248173585458,1
KCNQ1,-2.684170023556553,1
DACH1,-0.5199251756286483,1
SERTAD2,0.24419256493104946,0
SERPINE2,-0.3916007855896666,1
KANK4,-3.324672667965898,1
MFSD6,-1.0959009945721325,1
ATAD3C,-2.205076313619669,1
FAM81A,-1.476205310924839,1
