treatment,gene,log2FC_vs_resistant_base,p
sgc-cbp30,FOSL1,-0.19764217475404777,0.2605691013152147
sgc-cbp30,FOS,1.0667664416706764,0.11690151780028869
sgc-cbp30,JUN,0.10440445802477072,0.5680160719930193
sgc-cbp30,JUNB,-0.3874640974994765,0.22459791064521192
sgc-cbp30,EP300,0.1703327443946776,0.23654403451087233
sgc-cbp30,BRD4,0.0019086914458412707,0.988691040032943
sgc-cbp30,FGFR2,0.003408623869075811,0.9871683075089175
sgc-cbp30,FGFR3,-0.7904713261960321,0.04719672029192254
sgc-cbp30,FGFR4,-0.30211899742152326,0.2730383795076674
sgc-cbp30,COL3A1,-0.3422848588111336,0.05472182133425536
sgc-cbp30,MYC,-0.319965202062523,0.22820590517360032
sgc-cbp30,SPRY2,0.8787483225621617,0.03307071347372581
sgc-cbp30,DUSP6,0.09013554028554305,0.8921625978916508
sgc-cbp30,EGFR,-0.2126437852645786,0.275730172050445
jq1,FOSL1,-0.36338486232370215,0.041864548204345334
jq1,FOS,1.992750964562977,0.04245653085968554
jq1,JUN,0.12346329835977521,0.38746561320375883
jq1,JUNB,-0.010133600978573298,0.9597295746900876
jq1,EP300,-0.29026008712464524,0.12608934115918688
jq1,BRD4,-0.25627528184541326,0.09901884946346236
jq1,FGFR2,-0.34125038445623357,0.1974902065314865
jq1,FGFR3,-0.49024386650816787,0.04001558565518582
jq1,FGFR4,-0.925280519114164,0.006118289211166924
jq1,COL3A1,-3.0755510902957752,9.996464890224802e-06
jq1,MYC,0.34394203060237416,0.11090214236561861
jq1,SPRY2,-0.28104532770397306,0.3174103265518454
jq1,DUSP6,-1.0062599882225616,0.14930591428714607
jq1,EGFR,-0.3435010043340263,0.25219000483562637
otx-015,FOSL1,-0.57741129894662,0.013180842721869365
otx-015,FOS,1.5552489100961653,0.05425846323952053
otx-015,JUN,-0.011741412539315377,0.9005591320719547
otx-015,JUNB,-0.2816612313176776,0.05651370252486194
otx-015,EP300,-0.14422628569970364,0.02177393122024004
otx-015,BRD4,-0.13418965648811998,0.049961321669413424
otx-015,FGFR2,-0.24091766253954283,0.30578583755066885
otx-015,FGFR3,-0.576733262865007,0.0013332633511635905
otx-015,FGFR4,-0.7795828487553162,0.001123836723632447
otx-015,COL3A1,-2.8666316967316305,2.9608691037019035e-05
otx-015,MYC,0.2681168591905845,0.1864165877453742
otx-015,SPRY2,-0.44125425944927965,0.17584272302152296
otx-015,DUSP6,-1.3821210271012987,0.05160289912648952
otx-015,EGFR,-0.17860361181021034,0.11819780753336978
