model,kras,drug,signature,compartment,n_veh,n_trt,median_score_veh,median_score_trt,delta_trt_minus_veh,MWU_p_sample_level,member_genes_found,median_member_log2FC,signedrank_p_gene_level
AAP01,KRAS G12D,MRTX1133,myCAF,stroma(mouse),3,3,0.9883,0.9646,-0.0238,0.1,6/6,-1.817,0.03125
AAP01,KRAS G12D,MRTX1133,iCAF,stroma(mouse),3,3,0.8988,0.9156,0.0168,0.4,6/6,-0.021,1.0
AAP01,KRAS G12D,MRTX1133,apCAF,stroma(mouse),3,3,0.9796,0.9891,0.0095,0.1,5/5,0.419,0.0625
AAP01,KRAS G12D,MRTX1133,SASP,stroma(mouse),3,3,0.7646,0.8022,0.0375,0.7,14/14,0.217,0.43276758066778476
AAP01,KRAS G12D,MRTX1133,matrisome_core,stroma(mouse),3,3,0.9929,0.9875,-0.0054,0.1,19/19,-0.519,0.003917694091796875
AAP01,KRAS G12D,MRTX1133,MAPK_targets,stroma(mouse),3,3,0.8767,0.8592,-0.0174,0.7,9/9,-0.334,0.0390625
AAP01,KRAS G12D,MRTX1133,RASON_inhibition_PD,stroma(mouse),3,3,0.8828,0.869,-0.0138,0.7,7/7,-0.334,0.109375
AAP01,KRAS G12D,MRTX1133,MAPK_targets,tumor(human),3,3,0.9193,0.8638,-0.0554,0.1,9/9,-0.944,0.00390625
AAP01,KRAS G12D,MRTX1133,RASON_inhibition_PD,tumor(human),3,3,0.92,0.8543,-0.0657,0.1,7/7,-0.944,0.015625
AAP16,KRAS G12V,RMC-6236,myCAF,stroma(mouse),3,2,0.8813,0.9209,0.0396,0.2,6/6,0.971,0.4375
AAP16,KRAS G12V,RMC-6236,iCAF,stroma(mouse),3,2,0.8193,0.8841,0.0648,0.2,6/6,2.187,0.09375
AAP16,KRAS G12V,RMC-6236,apCAF,stroma(mouse),3,2,0.8983,0.8997,0.0014,1.0,5/5,-0.669,0.8125
AAP16,KRAS G12V,RMC-6236,SASP,stroma(mouse),3,2,0.7672,0.8711,0.1039,0.2,14/14,1.154,0.0166015625
AAP16,KRAS G12V,RMC-6236,matrisome_core,stroma(mouse),3,2,0.9686,0.9842,0.0156,0.2,19/19,0.006,0.5152778625488281
AAP16,KRAS G12V,RMC-6236,MAPK_targets,stroma(mouse),3,2,0.9351,0.8989,-0.0362,0.2,9/9,-1.161,0.00390625
AAP16,KRAS G12V,RMC-6236,RASON_inhibition_PD,stroma(mouse),3,2,0.9333,0.9006,-0.0327,0.2,7/7,-1.161,0.015625
AAP16,KRAS G12V,RMC-6236,MAPK_targets,tumor(human),3,2,0.89,0.882,-0.008,0.8,9/9,-0.266,0.16142946236708333
AAP16,KRAS G12V,RMC-6236,RASON_inhibition_PD,tumor(human),3,2,0.8685,0.8614,-0.0071,1.0,7/7,0.0,0.6001794871405538
