gene,log2FC_trt_vs_veh,detected,model,signature,compartment
Acta2,-2.924,True,AAP01,myCAF,stroma(mouse)
Tagln,-2.664,True,AAP01,myCAF,stroma(mouse)
Igfbp3,-1.214,True,AAP01,myCAF,stroma(mouse)
Thy1,-0.795,True,AAP01,myCAF,stroma(mouse)
Col12a1,-2.419,True,AAP01,myCAF,stroma(mouse)
Thbs2,-1.136,True,AAP01,myCAF,stroma(mouse)
Clec3b,0.074,True,AAP01,iCAF,stroma(mouse)
Il6,1.1,True,AAP01,iCAF,stroma(mouse)
Cxcl1,1.744,True,AAP01,iCAF,stroma(mouse)
Ly6c1,-0.116,True,AAP01,iCAF,stroma(mouse)
Has1,-0.49,True,AAP01,iCAF,stroma(mouse)
Col14a1,-1.434,True,AAP01,iCAF,stroma(mouse)
H2-Aa,0.154,True,AAP01,apCAF,stroma(mouse)
H2-Ab1,0.419,True,AAP01,apCAF,stroma(mouse)
Cd74,0.042,True,AAP01,apCAF,stroma(mouse)
Saa3,2.914,True,AAP01,apCAF,stroma(mouse)
Slpi,1.225,True,AAP01,apCAF,stroma(mouse)
Il6,1.1,True,AAP01,SASP,stroma(mouse)
Cxcl1,1.744,True,AAP01,SASP,stroma(mouse)
Cxcl2,1.83,True,AAP01,SASP,stroma(mouse)
Cxcl3,0.975,True,AAP01,SASP,stroma(mouse)
Ccl2,0.909,True,AAP01,SASP,stroma(mouse)
Mmp1a,0.0,True,AAP01,SASP,stroma(mouse)
Mmp3,1.015,True,AAP01,SASP,stroma(mouse)
Serpine1,-2.291,True,AAP01,SASP,stroma(mouse)
Vegfa,-0.29,True,AAP01,SASP,stroma(mouse)
Igfbp2,-1.716,True,AAP01,SASP,stroma(mouse)
Igfbp7,-0.46,True,AAP01,SASP,stroma(mouse)
Plau,0.434,True,AAP01,SASP,stroma(mouse)
Csf2,0.0,True,AAP01,SASP,stroma(mouse)
Hgf,-0.602,True,AAP01,SASP,stroma(mouse)
Col1a1,-0.373,True,AAP01,matrisome_core,stroma(mouse)
Col1a2,-0.318,True,AAP01,matrisome_core,stroma(mouse)
Col3a1,0.456,True,AAP01,matrisome_core,stroma(mouse)
Col5a1,-1.389,True,AAP01,matrisome_core,stroma(mouse)
Col5a2,-0.858,True,AAP01,matrisome_core,stroma(mouse)
Col6a1,-0.603,True,AAP01,matrisome_core,stroma(mouse)
Col6a2,-0.503,True,AAP01,matrisome_core,stroma(mouse)
Col6a3,0.337,True,AAP01,matrisome_core,stroma(mouse)
Fn1,-0.087,True,AAP01,matrisome_core,stroma(mouse)
