sample,compartment,genes_found,pct_of_mouse_reads
AAP01|AAP01_MRTX1_Mouse,fibroblast,11/11,2.49
AAP01|AAP01_MRTX2_Mouse,fibroblast,11/11,3.32
AAP01|AAP01_MRTX3_Mouse,fibroblast,11/11,2.85
AAP01|AAP01_VC1_Mouse,fibroblast,11/11,3.22
AAP01|AAP01_VC2_Mouse,fibroblast,11/11,2.25
AAP01|AAP01_VC3_Mouse,fibroblast,11/11,3.64
AAP16|AAP16_RMC1_Mouse,fibroblast,11/11,1.25
AAP16|AAP16_RMC2_Mouse,fibroblast,11/11,1.96
AAP16|AAP16_VC1_Mouse,fibroblast,11/11,1.38
AAP16|AAP16_VC2_Mouse,fibroblast,11/11,1.74
AAP16|AAP16_VC3_Mouse,fibroblast,11/11,1.61
AAP01|AAP01_MRTX1_Mouse,myofibroblast_smc,3/3,0.01
AAP01|AAP01_MRTX2_Mouse,myofibroblast_smc,3/3,0.02
AAP01|AAP01_MRTX3_Mouse,myofibroblast_smc,3/3,0.01
AAP01|AAP01_VC1_Mouse,myofibroblast_smc,3/3,0.11
AAP01|AAP01_VC2_Mouse,myofibroblast_smc,3/3,0.18
AAP01|AAP01_VC3_Mouse,myofibroblast_smc,3/3,0.03
AAP16|AAP16_RMC1_Mouse,myofibroblast_smc,3/3,0.02
AAP16|AAP16_RMC2_Mouse,myofibroblast_smc,3/3,0.01
AAP16|AAP16_VC1_Mouse,myofibroblast_smc,3/3,0.0
AAP16|AAP16_VC2_Mouse,myofibroblast_smc,3/3,0.01
AAP16|AAP16_VC3_Mouse,myofibroblast_smc,3/3,0.01
AAP01|AAP01_MRTX1_Mouse,pericyte,3/3,0.02
AAP01|AAP01_MRTX2_Mouse,pericyte,3/3,0.02
AAP01|AAP01_MRTX3_Mouse,pericyte,3/3,0.03
AAP01|AAP01_VC1_Mouse,pericyte,3/3,0.04
AAP01|AAP01_VC2_Mouse,pericyte,3/3,0.05
AAP01|AAP01_VC3_Mouse,pericyte,3/3,0.04
AAP16|AAP16_RMC1_Mouse,pericyte,3/3,0.01
AAP16|AAP16_RMC2_Mouse,pericyte,3/3,0.02
AAP16|AAP16_VC1_Mouse,pericyte,3/3,0.02
AAP16|AAP16_VC2_Mouse,pericyte,3/3,0.03
AAP16|AAP16_VC3_Mouse,pericyte,3/3,0.03
AAP01|AAP01_MRTX1_Mouse,immune,11/11,0.58
AAP01|AAP01_MRTX2_Mouse,immune,11/11,0.93
AAP01|AAP01_MRTX3_Mouse,immune,11/11,1.02
AAP01|AAP01_VC1_Mouse,immune,11/11,0.99
AAP01|AAP01_VC2_Mouse,immune,11/11,0.37
AAP01|AAP01_VC3_Mouse,immune,11/11,0.58
AAP16|AAP16_RMC1_Mouse,immune,11/11,0.26
AAP16|AAP16_RMC2_Mouse,immune,11/11,0.45
AAP16|AAP16_VC1_Mouse,immune,11/11,0.13
AAP16|AAP16_VC2_Mouse,immune,11/11,0.17
AAP16|AAP16_VC3_Mouse,immune,11/11,0.21
AAP01|AAP01_MRTX1_Mouse,endothelial,5/5,0.03
AAP01|AAP01_MRTX2_Mouse,endothelial,5/5,0.04
AAP01|AAP01_MRTX3_Mouse,endothelial,5/5,0.03
AAP01|AAP01_VC1_Mouse,endothelial,5/5,0.06
AAP01|AAP01_VC2_Mouse,endothelial,5/5,0.06
AAP01|AAP01_VC3_Mouse,endothelial,5/5,0.05
AAP16|AAP16_RMC1_Mouse,endothelial,5/5,0.01
AAP16|AAP16_RMC2_Mouse,endothelial,5/5,0.03
AAP16|AAP16_VC1_Mouse,endothelial,5/5,0.02
AAP16|AAP16_VC2_Mouse,endothelial,5/5,0.02
AAP16|AAP16_VC3_Mouse,endothelial,5/5,0.02
AAP01|AAP01_MRTX1_Mouse,epithelial_host,5/5,0.02
AAP01|AAP01_MRTX2_Mouse,epithelial_host,5/5,0.12
AAP01|AAP01_MRTX3_Mouse,epithelial_host,5/5,0.01
AAP01|AAP01_VC1_Mouse,epithelial_host,5/5,0.02
AAP01|AAP01_VC2_Mouse,epithelial_host,5/5,0.12
AAP01|AAP01_VC3_Mouse,epithelial_host,5/5,0.03
AAP16|AAP16_RMC1_Mouse,epithelial_host,5/5,0.01
AAP16|AAP16_RMC2_Mouse,epithelial_host,5/5,0.0
AAP16|AAP16_VC1_Mouse,epithelial_host,5/5,0.0
AAP16|AAP16_VC2_Mouse,epithelial_host,5/5,0.0
AAP16|AAP16_VC3_Mouse,epithelial_host,5/5,0.0
