sample,compartment,library_size,genes_detected
AAP01|AAP01_MRTX1_Mouse,stroma(mouse),21225841,23988
AAP01|AAP01_MRTX2_Mouse,stroma(mouse),15536078,22613
AAP01|AAP01_MRTX3_Mouse,stroma(mouse),17603301,21276
AAP01|AAP01_VC1_Mouse,stroma(mouse),6785196,20587
AAP01|AAP01_VC2_Mouse,stroma(mouse),9116352,21139
AAP01|AAP01_VC3_Mouse,stroma(mouse),7145783,20528
AAP16|AAP16_RMC1_Mouse,stroma(mouse),11224043,26286
AAP16|AAP16_RMC2_Mouse,stroma(mouse),17922797,22920
AAP16|AAP16_VC1_Mouse,stroma(mouse),18903238,23288
AAP16|AAP16_VC2_Mouse,stroma(mouse),17356375,24956
AAP16|AAP16_VC3_Mouse,stroma(mouse),20618465,23001
AAP01|AAP01_MRTX1_Human,tumor(human),2094148,19924
AAP01|AAP01_MRTX2_Human,tumor(human),2306042,19405
AAP01|AAP01_MRTX3_Human,tumor(human),1314623,17528
AAP01|AAP01_VC1_Human,tumor(human),14126799,25744
AAP01|AAP01_VC2_Human,tumor(human),15186333,24887
AAP01|AAP01_VC3_Human,tumor(human),13677641,26355
AAP16|AAP16_RMC1_Human,tumor(human),210210,6550
AAP16|AAP16_RMC2_Human,tumor(human),348704,7052
AAP16|AAP16_VC1_Human,tumor(human),442551,7677
AAP16|AAP16_VC2_Human,tumor(human),402363,7589
AAP16|AAP16_VC3_Human,tumor(human),454480,7788
