sample,cluster,n_cells,fib_mean,epi_mean,imm_mean,fibroblast_cluster,note
GSM9850794,0,1857,3.257,0.291,0.053,True,
GSM9850794,1,1548,0.347,1.378,0.061,False,
GSM9850794,2,428,0.368,2.621,0.066,False,
GSM9850794,3,1772,0.593,0.212,0.26,False,
GSM9850794,4,4252,0.392,0.245,0.891,False,
GSM9850794,5,1834,0.323,2.155,0.045,False,
GSM9850795,0,890,0.127,2.064,0.134,False,
GSM9850795,1,487,0.073,0.117,1.03,False,
GSM9850795,2,2758,0.042,0.09,0.93,False,
GSM9850795,3,1200,0.118,0.231,0.374,False,
GSM9850795,4,1844,0.045,0.083,1.08,False,
GSM9850795,5,198,2.781,0.373,0.136,True,
GSM9850796,0,317,0.053,0.114,0.802,False,
GSM9850796,1,746,0.138,0.131,0.81,False,
GSM9850796,2,447,2.857,0.178,0.099,True,
GSM9850796,3,865,0.083,0.123,0.762,False,
GSM9850796,4,1541,0.13,0.165,0.384,False,
GSM9850796,5,884,0.068,2.357,0.041,False,
GSM9850797,0,895,0.137,0.043,0.838,False,
GSM9850797,1,318,0.064,2.333,0.06,False,
GSM9850797,2,845,0.058,0.041,0.881,False,
GSM9850797,3,890,0.1,0.042,0.804,False,
GSM9850797,4,1279,0.116,0.075,0.523,False,
GSM9850797,5,596,3.164,0.046,0.117,True,
GSM9850798,0,379,0.071,2.149,0.063,False,
GSM9850798,1,557,0.036,0.03,0.881,False,
GSM9850798,2,1321,0.016,0.025,1.027,False,
GSM9850798,3,1271,0.015,0.023,0.919,False,
GSM9850798,4,383,2.495,0.043,0.07,True,
GSM9850798,5,2931,0.043,0.097,0.244,False,
GSM9850799,0,1734,0.008,0.064,0.806,False,
GSM9850799,1,1366,0.005,0.052,0.925,False,
GSM9850799,2,1562,0.004,0.056,1.099,False,
GSM9850799,3,261,0.006,2.435,0.067,False,
GSM9850799,4,53,2.722,0.317,0.207,True,
GSM9850799,5,1000,0.022,0.041,1.098,False,
GSM9850800,0,43,2.587,0.42,0.094,True,
GSM9850800,1,807,0.035,0.087,1.032,False,
GSM9850800,2,871,0.006,0.076,0.872,False,
GSM9850800,3,135,0.015,2.948,0.038,False,
GSM9850800,4,431,0.012,2.136,0.065,False,
GSM9850800,5,3947,0.007,0.086,0.922,False,
GSM9850801,0,1828,0.0,0.001,0.81,False,no_fibroblast_cluster
GSM9850801,1,993,0.0,0.001,0.799,False,no_fibroblast_cluster
GSM9850801,2,207,0.006,0.0,1.033,False,no_fibroblast_cluster
GSM9850801,3,644,0.0,0.002,0.602,False,no_fibroblast_cluster
GSM9850801,4,236,0.0,0.263,0.909,False,no_fibroblast_cluster
GSM9850801,5,2732,0.0,0.0,1.102,False,no_fibroblast_cluster
GSM9850802,0,110,0.19,0.025,0.991,False,no_fibroblast_cluster
GSM9850802,1,23,0.0,2.869,0.038,False,no_fibroblast_cluster
GSM9850802,2,1869,0.0,0.018,0.968,False,no_fibroblast_cluster
GSM9850802,3,1016,0.006,0.011,1.046,False,no_fibroblast_cluster
GSM9850802,4,1280,0.001,0.007,0.935,False,no_fibroblast_cluster
GSM9850802,5,1080,0.001,0.012,0.848,False,no_fibroblast_cluster
