gene	GSM9850794	GSM9850795	GSM9850796	GSM9850797	GSM9850798	GSM9850799	GSM9850800
0610005C13Rik	2	0	3	6	2	0	0
0610006L08Rik	0	0	0	1	1	0	0
0610009B22Rik	490	96	273	374	74	53	68
0610009E02Rik	56	11	0	0	0	5	4
0610009L18Rik	180	29	0	0	0	10	8
0610010F05Rik	354	52	649	637	243	0	0
0610010K14Rik	865	102	203	175	34	73	107
0610012D04Rik	1	1	4	1	1	0	0
0610012G03Rik	4009	271	1458	1809	242	0	0
0610025J13Rik	14	1	2	4	1	1	0
0610030E20Rik	474	106	168	307	72	64	30
0610031O16Rik	0	0	2	0	1	0	0
0610033M10Rik	0	0	1	0	0	0	0
0610038B21Rik	37	4	20	31	3	4	2
0610039K10Rik	7	1	1	2	1	0	0
0610040B10Rik	123	6	30	31	13	14	6
0610040F04Rik	2	0	44	73	4	4	0
0610040J01Rik	47	2	74	36	3	17	1
0610043K17Rik	5	2	199	214	112	10	3
0710001A04Rik	6	0	3	0	0	0	0
1010001B22Rik	16	7	4	7	1	2	0
1010001N08Rik	28	41	303	139	67	0	0
1100001I12Rik	0	0	4	2	0	0	0
1110002E22Rik	6	0	7	4	0	0	2
1110002J07Rik	2	0	0	5	0	0	0
1110002L01Rik	59	12	90	105	37	20	12
1110002O04Rik	31	6	4	3	4	0	0
1110004F10Rik	5729	415	2107	2189	457	255	293
1110006O24Rik	60	6	22	14	4	4	2
1110008E08Rik	0	0	0	0	0	0	0
1110008P14Rik	1872	187	559	735	123	0	0
1110012L19Rik	512	61	250	236	66	0	0
1110013H19Rik	9	3	0	0	0	1	1
1110015O18Rik	0	0	0	0	0	0	0
1110017D15Rik	3	0	53	43	12	3	1
1110018N20Rik	12	1	0	0	0	6	1
1110019B22Rik	0	0	0	0	0	0	0
1110019D14Rik	89	16	78	106	46	19	18
1110020A21Rik	17	3	8	14	0	2	0
1110025L11Rik	0	0	0	0	0	0	0
1110028F11Rik	0	0	0	0	0	2	0
1110028F18Rik	0	0	7	4	0	0	1
1110032A03Rik	602	72	245	284	47	0	0
1110032F04Rik	2	0	3	4	5	0	0
1110035H17Rik	50	7	31	29	5	4	3
1110038B12Rik	2905	271	0	0	0	187	245
1110038F14Rik	1600	135	509	751	170	102	95
1110046J04Rik	363	23	128	161	45	10	13
1110051M20Rik	302	42	460	714	269	0	0
1110057P08Rik	0	0	0	0	0	0	0
1110059E24Rik	765	73	377	478	103	73	83
1110059G10Rik	768	94	377	342	95	64	60
1110065P20Rik	2716	198	825	1220	124	134	130
1190001M18Rik	1	1	0	3	0	0	1
1190005I06Rik	86	4	22	23	1	5	9
1190007I07Rik	149	51	127	150	40	0	0
1190028D05Rik	0	0	0	0	0	0	0
1200007C13Rik	426	11	1184	697	150	64	27
1300002E11Rik	466	71	147	332	70	52	29
1300014J16Rik	5	3	3	0	0	1	0
1300017J02Rik	1	1	18	21	9	0	0
1500002C15Rik	24	5	5	9	1	3	3
1500002F19Rik	35	1	0	0	0	0	0
1500004A13Rik	66	8	0	0	0	23	15
1500009C09Rik	2	0	2	1	1	0	0
1500009L16Rik	164	13	105	232	46	3	2
1500011B03Rik	1520	108	102	89	25	90	101
1500012K07Rik	0	0	0	0	0	0	0
1500015A07Rik	89	14	27	35	8	11	6
1500015L24Rik	0	0	0	0	0	13	4
1500026H17Rik	26	3	0	0	0	2	1
1500032F14Rik	0	0	0	0	0	1	1
1500035N22Rik	6	0	10	10	4	3	0
1520401A03Rik	0	0	2	0	0	0	0
1600002D24Rik	1	0	0	0	0	0	0
1600002K03Rik	719	63	225	324	52	0	0
1600010M07Rik	19	0	398	449	109	30	27
1600012H06Rik	679	131	366	527	88	75	47
1600012P17Rik	0	0	0	0	0	0	0
1600014C10Rik	222	39	145	222	32	46	24
1600014C23Rik	21	0	5	6	0	0	1
1600019K03Rik	0	0	0	0	0	0	0
1600020E01Rik	249	45	673	492	114	69	47
1600022D10Rik	1	0	0	0	0	3	0
