sample,gene,fibroblast_detection_frac
GSM9850799,Acta2,0.566
GSM9850799,Bgn,0.981
GSM9850799,Ccl2,0.679
GSM9850799,Ccnd1,0.472
GSM9850799,Cd74,0.83
GSM9850799,Clec3b,0.509
GSM9850799,Col12a1,0.283
GSM9850799,Col14a1,0.396
GSM9850799,Col1a1,0.981
GSM9850799,Col1a2,1.0
GSM9850799,Col3a1,1.0
GSM9850799,Col5a1,0.906
GSM9850799,Col5a2,0.962
GSM9850799,Col6a1,0.943
GSM9850799,Col6a2,0.943
GSM9850799,Col6a3,0.906
GSM9850799,Csf2,0.019
GSM9850799,Cxcl1,0.245
GSM9850799,Cxcl2,0.264
GSM9850799,Cxcl3,0.019
GSM9850799,Dcn,1.0
GSM9850799,Dusp4,0.283
GSM9850799,Dusp6,0.66
GSM9850799,Etv1,0.509
GSM9850799,Etv4,0.302
GSM9850799,Etv5,0.547
GSM9850799,Fn1,0.962
GSM9850799,Fosl1,0.151
GSM9850799,H2-Aa,0.717
GSM9850799,H2-Ab1,0.755
GSM9850799,Has1,0.132
GSM9850799,Hgf,0.151
GSM9850799,Hspg2,0.887
GSM9850799,Igfbp2,0.057
GSM9850799,Igfbp3,0.226
GSM9850799,Igfbp7,0.981
GSM9850799,Il6,0.264
GSM9850799,Lum,0.34
GSM9850799,Ly6c1,0.189
GSM9850799,Mmp1a,0.0
GSM9850799,Mmp3,0.0
GSM9850799,Plau,0.321
GSM9850799,Postn,0.302
GSM9850799,Saa3,0.849
GSM9850799,Serpine1,0.358
GSM9850799,Slpi,0.717
GSM9850799,Sparc,1.0
GSM9850799,Spry2,0.585
GSM9850799,Spry4,0.453
GSM9850799,Tagln,0.151
GSM9850799,Thbs1,0.509
GSM9850799,Thbs2,0.226
GSM9850799,Thy1,0.472
GSM9850799,Tnc,0.057
GSM9850799,Vcan,0.736
GSM9850799,Vegfa,0.528
GSM9850800,Acta2,0.548
GSM9850800,Bgn,0.976
GSM9850800,Ccl2,0.286
GSM9850800,Ccnd1,0.238
GSM9850800,Cd74,0.595
GSM9850800,Clec3b,0.048
GSM9850800,Col12a1,0.452
GSM9850800,Col14a1,0.143
GSM9850800,Col1a1,0.952
GSM9850800,Col1a2,0.976
GSM9850800,Col3a1,1.0
GSM9850800,Col5a1,0.929
GSM9850800,Col5a2,0.881
GSM9850800,Col6a1,0.857
GSM9850800,Col6a2,0.857
GSM9850800,Col6a3,0.881
GSM9850800,Csf2,0.0
GSM9850800,Cxcl1,0.167
GSM9850800,Cxcl2,0.071
GSM9850800,Cxcl3,0.024
GSM9850800,Dcn,0.952
GSM9850800,Dusp4,0.595
GSM9850800,Dusp6,0.595
GSM9850800,Etv1,0.429
GSM9850800,Etv4,0.524
GSM9850800,Etv5,0.476
GSM9850800,Fn1,0.929
GSM9850800,Fosl1,0.452
GSM9850800,H2-Aa,0.333
GSM9850800,H2-Ab1,0.476
GSM9850800,Has1,0.262
GSM9850800,Hgf,0.071
GSM9850800,Hspg2,0.833
GSM9850800,Igfbp2,0.167
GSM9850800,Igfbp3,0.333
GSM9850800,Igfbp7,0.881
GSM9850800,Il6,0.262
GSM9850800,Lum,0.262
GSM9850800,Ly6c1,0.024
GSM9850800,Mmp1a,0.0
GSM9850800,Mmp3,0.19
GSM9850800,Plau,0.476
GSM9850800,Postn,0.071
GSM9850800,Saa3,0.548
GSM9850800,Serpine1,0.571
GSM9850800,Slpi,0.619
GSM9850800,Sparc,0.976
GSM9850800,Spry2,0.548
GSM9850800,Spry4,0.333
GSM9850800,Tagln,0.476
GSM9850800,Thbs1,0.405
GSM9850800,Thbs2,0.429
GSM9850800,Thy1,0.405
GSM9850800,Tnc,0.429
GSM9850800,Vcan,0.81
GSM9850800,Vegfa,0.619
