sample,signature,gene,detected
GSM9850794,myCAF,Acta2,True
GSM9850794,myCAF,Tagln,True
GSM9850794,myCAF,Igfbp3,True
GSM9850794,myCAF,Thy1,True
GSM9850794,myCAF,Col12a1,True
GSM9850794,myCAF,Thbs2,True
GSM9850794,iCAF,Clec3b,True
GSM9850794,iCAF,Il6,True
GSM9850794,iCAF,Cxcl1,True
GSM9850794,iCAF,Ly6c1,True
GSM9850794,iCAF,Has1,True
GSM9850794,iCAF,Col14a1,True
GSM9850794,apCAF,H2-Aa,True
GSM9850794,apCAF,H2-Ab1,True
GSM9850794,apCAF,Cd74,True
GSM9850794,apCAF,Saa3,True
GSM9850794,apCAF,Slpi,True
GSM9850794,SASP,Il6,True
GSM9850794,SASP,Cxcl1,True
GSM9850794,SASP,Cxcl2,True
GSM9850794,SASP,Cxcl3,True
GSM9850794,SASP,Ccl2,True
GSM9850794,SASP,Mmp1a,True
GSM9850794,SASP,Mmp3,True
GSM9850794,SASP,Serpine1,True
GSM9850794,SASP,Vegfa,True
GSM9850794,SASP,Igfbp2,True
GSM9850794,SASP,Igfbp7,True
GSM9850794,SASP,Plau,True
GSM9850794,SASP,Csf2,True
GSM9850794,SASP,Hgf,True
GSM9850794,matrisome_core,Col1a1,True
GSM9850794,matrisome_core,Col1a2,True
GSM9850794,matrisome_core,Col3a1,True
GSM9850794,matrisome_core,Col5a1,True
GSM9850794,matrisome_core,Col5a2,True
GSM9850794,matrisome_core,Col6a1,True
GSM9850794,matrisome_core,Col6a2,True
GSM9850794,matrisome_core,Col6a3,True
GSM9850794,matrisome_core,Fn1,True
GSM9850794,matrisome_core,Postn,True
GSM9850794,matrisome_core,Tnc,True
GSM9850794,matrisome_core,Sparc,True
GSM9850794,matrisome_core,Thbs1,True
GSM9850794,matrisome_core,Thbs2,True
GSM9850794,matrisome_core,Dcn,True
GSM9850794,matrisome_core,Lum,True
GSM9850794,matrisome_core,Bgn,True
GSM9850794,matrisome_core,Vcan,True
GSM9850794,matrisome_core,Hspg2,True
GSM9850794,MAPK_targets,Dusp4,True
GSM9850794,MAPK_targets,Dusp6,True
GSM9850794,MAPK_targets,Spry2,True
GSM9850794,MAPK_targets,Spry4,True
GSM9850794,MAPK_targets,Etv1,True
GSM9850794,MAPK_targets,Etv4,True
GSM9850794,MAPK_targets,Etv5,True
GSM9850794,MAPK_targets,Fosl1,True
GSM9850794,MAPK_targets,Ccnd1,True
GSM9850794,RASON_inhibition_PD,Dusp6,True
GSM9850794,RASON_inhibition_PD,Spry2,True
GSM9850794,RASON_inhibition_PD,Spry4,True
GSM9850794,RASON_inhibition_PD,Etv4,True
GSM9850794,RASON_inhibition_PD,Etv5,True
GSM9850794,RASON_inhibition_PD,Fosl1,True
GSM9850794,RASON_inhibition_PD,Ccnd1,True
GSM9850795,myCAF,Acta2,True
GSM9850795,myCAF,Tagln,True
GSM9850795,myCAF,Igfbp3,True
GSM9850795,myCAF,Thy1,True
GSM9850795,myCAF,Col12a1,True
GSM9850795,myCAF,Thbs2,True
GSM9850795,iCAF,Clec3b,True
GSM9850795,iCAF,Il6,True
GSM9850795,iCAF,Cxcl1,True
GSM9850795,iCAF,Ly6c1,True
GSM9850795,iCAF,Has1,True
GSM9850795,iCAF,Col14a1,True
GSM9850795,apCAF,H2-Aa,True
GSM9850795,apCAF,H2-Ab1,True
GSM9850795,apCAF,Cd74,True
GSM9850795,apCAF,Saa3,True
GSM9850795,apCAF,Slpi,True
GSM9850795,SASP,Il6,True
GSM9850795,SASP,Cxcl1,True
GSM9850795,SASP,Cxcl2,True
GSM9850795,SASP,Cxcl3,True
GSM9850795,SASP,Ccl2,True
GSM9850795,SASP,Mmp1a,True
GSM9850795,SASP,Mmp3,True
GSM9850795,SASP,Serpine1,True
GSM9850795,SASP,Vegfa,True
GSM9850795,SASP,Igfbp2,True
GSM9850795,SASP,Igfbp7,True
GSM9850795,SASP,Plau,True
GSM9850795,SASP,Csf2,True
GSM9850795,SASP,Hgf,True
GSM9850795,matrisome_core,Col1a1,True
GSM9850795,matrisome_core,Col1a2,True
GSM9850795,matrisome_core,Col3a1,True
GSM9850795,matrisome_core,Col5a1,True
GSM9850795,matrisome_core,Col5a2,True
GSM9850795,matrisome_core,Col6a1,True
GSM9850795,matrisome_core,Col6a2,True
GSM9850795,matrisome_core,Col6a3,True
GSM9850795,matrisome_core,Fn1,True
GSM9850795,matrisome_core,Postn,True
GSM9850795,matrisome_core,Tnc,True
GSM9850795,matrisome_core,Sparc,True
GSM9850795,matrisome_core,Thbs1,True
GSM9850795,matrisome_core,Thbs2,True
GSM9850795,matrisome_core,Dcn,True
GSM9850795,matrisome_core,Lum,True
GSM9850795,matrisome_core,Bgn,True
GSM9850795,matrisome_core,Vcan,True
GSM9850795,matrisome_core,Hspg2,True
GSM9850795,MAPK_targets,Dusp4,True
GSM9850795,MAPK_targets,Dusp6,True
GSM9850795,MAPK_targets,Spry2,True
GSM9850795,MAPK_targets,Spry4,True
GSM9850795,MAPK_targets,Etv1,True
GSM9850795,MAPK_targets,Etv4,True
GSM9850795,MAPK_targets,Etv5,True
GSM9850795,MAPK_targets,Fosl1,True
GSM9850795,MAPK_targets,Ccnd1,True
GSM9850795,RASON_inhibition_PD,Dusp6,True
GSM9850795,RASON_inhibition_PD,Spry2,True
GSM9850795,RASON_inhibition_PD,Spry4,True
GSM9850795,RASON_inhibition_PD,Etv4,True
GSM9850795,RASON_inhibition_PD,Etv5,True
GSM9850795,RASON_inhibition_PD,Fosl1,True
GSM9850795,RASON_inhibition_PD,Ccnd1,True
GSM9850796,myCAF,Acta2,True
GSM9850796,myCAF,Tagln,True
GSM9850796,myCAF,Igfbp3,True
GSM9850796,myCAF,Thy1,True
GSM9850796,myCAF,Col12a1,True
GSM9850796,myCAF,Thbs2,True
GSM9850796,iCAF,Clec3b,True
GSM9850796,iCAF,Il6,True
GSM9850796,iCAF,Cxcl1,True
GSM9850796,iCAF,Ly6c1,True
GSM9850796,iCAF,Has1,True
GSM9850796,iCAF,Col14a1,True
GSM9850796,apCAF,H2-Aa,True
GSM9850796,apCAF,H2-Ab1,True
GSM9850796,apCAF,Cd74,True
GSM9850796,apCAF,Saa3,True
GSM9850796,apCAF,Slpi,True
GSM9850796,SASP,Il6,True
GSM9850796,SASP,Cxcl1,True
GSM9850796,SASP,Cxcl2,True
GSM9850796,SASP,Cxcl3,True
GSM9850796,SASP,Ccl2,True
GSM9850796,SASP,Mmp1a,True
GSM9850796,SASP,Mmp3,True
GSM9850796,SASP,Serpine1,True
GSM9850796,SASP,Vegfa,True
GSM9850796,SASP,Igfbp2,True
GSM9850796,SASP,Igfbp7,True
GSM9850796,SASP,Plau,True
GSM9850796,SASP,Csf2,True
GSM9850796,SASP,Hgf,True
GSM9850796,matrisome_core,Col1a1,True
GSM9850796,matrisome_core,Col1a2,True
GSM9850796,matrisome_core,Col3a1,True
GSM9850796,matrisome_core,Col5a1,True
GSM9850796,matrisome_core,Col5a2,True
GSM9850796,matrisome_core,Col6a1,True
