contrast,compartment,ligand,receptors,cp10k_treated,cp10k_vehicle,log2FC_treated_vs_vehicle,direction,n_umi_treated,n_umi_vehicle
KPC2_RMC6236_vs_Veh,epithelial,Il1a,"Il1r1,Il1r2",0.04,0.04,0.004,flat,18549291,40671227
KPC2_RMC6236_vs_Veh,epithelial,Il1b,"Il1r1,Il1r2",0.2,0.14,0.077,flat,18549291,40671227
KPC2_RMC6236_vs_Veh,epithelial,Il6,"Il6ra,Il6st",0.01,0.0,0.007,flat,18549291,40671227
KPC2_RMC6236_vs_Veh,epithelial,Lif,"Lifr,Il6st",0.05,0.12,-0.089,flat,18549291,40671227
KPC2_RMC6236_vs_Veh,epithelial,Osm,"Osmr,Il6st",0.02,0.01,0.003,flat,18549291,40671227
KPC2_RMC6236_vs_Veh,epithelial,Cxcl1,Cxcr2,0.01,0.01,0.012,flat,18549291,40671227
KPC2_RMC6236_vs_Veh,epithelial,Csf2,"Csf2ra,Csf2rb",0.01,0.01,-0.003,flat,18549291,40671227
KPC2_RMC6236_vs_Veh,epithelial,Csf3,Csf3r,0.0,0.01,-0.005,flat,18549291,40671227
KPC2_RMC6236_vs_Veh,epithelial,Tnf,"Tnfrsf1a,Tnfrsf1b",0.03,0.02,0.021,flat,18549291,40671227
KPC2_RMC6236_vs_Veh,immune,Il1a,"Il1r1,Il1r2",0.23,0.11,0.159,flat,55107443,43635647
KPC2_RMC6236_vs_Veh,immune,Il1b,"Il1r1,Il1r2",7.3,7.05,0.044,flat,55107443,43635647
KPC2_RMC6236_vs_Veh,immune,Il6,"Il6ra,Il6st",0.02,0.03,-0.009,flat,55107443,43635647
KPC2_RMC6236_vs_Veh,immune,Lif,"Lifr,Il6st",0.01,0.01,-0.0,flat,55107443,43635647
KPC2_RMC6236_vs_Veh,immune,Osm,"Osmr,Il6st",0.41,0.51,-0.102,flat,55107443,43635647
KPC2_RMC6236_vs_Veh,immune,Cxcl1,Cxcr2,0.0,0.01,-0.005,flat,55107443,43635647
KPC2_RMC6236_vs_Veh,immune,Csf2,"Csf2ra,Csf2rb",0.03,0.0,0.036,flat,55107443,43635647
KPC2_RMC6236_vs_Veh,immune,Csf3,Csf3r,0.0,0.0,-0.001,flat,55107443,43635647
KPC2_RMC6236_vs_Veh,immune,Tnf,"Tnfrsf1a,Tnfrsf1b",0.36,0.22,0.158,flat,55107443,43635647
KPC1_MRTX1133_vs_Veh,epithelial,Il1a,"Il1r1,Il1r2",0.01,0.03,-0.034,flat,38610648,68489014
KPC1_MRTX1133_vs_Veh,epithelial,Il1b,"Il1r1,Il1r2",0.07,0.77,-0.728,down,38610648,68489014
KPC1_MRTX1133_vs_Veh,epithelial,Il6,"Il6ra,Il6st",0.01,0.02,-0.013,flat,38610648,68489014
KPC1_MRTX1133_vs_Veh,epithelial,Lif,"Lifr,Il6st",0.05,0.04,0.01,flat,38610648,68489014
KPC1_MRTX1133_vs_Veh,epithelial,Osm,"Osmr,Il6st",0.01,0.05,-0.053,flat,38610648,68489014
KPC1_MRTX1133_vs_Veh,epithelial,Cxcl1,Cxcr2,0.08,0.29,-0.253,flat,38610648,68489014
KPC1_MRTX1133_vs_Veh,epithelial,Csf2,"Csf2ra,Csf2rb",0.05,0.01,0.064,flat,38610648,68489014
KPC1_MRTX1133_vs_Veh,epithelial,Csf3,Csf3r,0.0,0.0,-0.003,flat,38610648,68489014
KPC1_MRTX1133_vs_Veh,epithelial,Tnf,"Tnfrsf1a,Tnfrsf1b",0.02,0.06,-0.054,flat,38610648,68489014
KPC1_MRTX1133_vs_Veh,immune,Il1a,"Il1r1,Il1r2",0.02,0.55,-0.6,down,50237449,35024219
KPC1_MRTX1133_vs_Veh,immune,Il1b,"Il1r1,Il1r2",1.14,16.04,-2.993,down,50237449,35024219
KPC1_MRTX1133_vs_Veh,immune,Il6,"Il6ra,Il6st",0.01,0.14,-0.174,flat,50237449,35024219
KPC1_MRTX1133_vs_Veh,immune,Lif,"Lifr,Il6st",0.02,0.05,-0.048,flat,50237449,35024219
KPC1_MRTX1133_vs_Veh,immune,Osm,"Osmr,Il6st",0.12,0.92,-0.78,down,50237449,35024219
KPC1_MRTX1133_vs_Veh,immune,Cxcl1,Cxcr2,0.01,0.91,-0.922,down,50237449,35024219
KPC1_MRTX1133_vs_Veh,immune,Csf2,"Csf2ra,Csf2rb",0.02,0.0,0.025,flat,50237449,35024219
KPC1_MRTX1133_vs_Veh,immune,Csf3,Csf3r,0.0,0.01,-0.014,flat,50237449,35024219
KPC1_MRTX1133_vs_Veh,immune,Tnf,"Tnfrsf1a,Tnfrsf1b",0.09,0.65,-0.602,down,50237449,35024219
