line,condition,fold,delta_log2,pooled_sd_log2,cohens_d,n_for_80pct,power_at_n3
AZ,10 nM RASi daily,3.11,1.637,1.276,1.28,11,0.229
AZ,100 nM RASi daily,3.53,1.822,0.661,2.76,4,0.716
AZ,10 nM RASi 5 Day,0.29,-1.78,0.758,2.35,5,0.585
AZ,100 nM RASi 5 Day,15.08,3.914,0.164,23.87,2,1.0
BU,10 nM RASi daily,0.81,-0.305,0.032,9.61,2,1.0
BU,100 nM RASi daily,0.67,-0.586,0.04,14.64,2,1.0
BU,10 nM RASi 5 Day,0.88,-0.177,0.09,1.96,6,0.45
BU,100 nM RASi 5 Day,0.91,-0.143,0.035,4.14,3,0.959
GOL 321,10 nM RASi daily,0.0,-10.479,12.43,0.84,24,0.127
GOL 321,100 nM RASi daily,0.36,-1.454,0.4,3.64,3,0.907
GOL 321,10 nM RASi 5 Day,0.25,-2.0,0.515,3.88,3,0.936
GOL 321,100 nM RASi 5 Day,2.59,1.373,0.108,12.74,2,1.0
GOL 205,100 nM RASi daily,2.62,1.39,0.582,2.39,4,0.598
GOL 205,10 nM RASi 5 Day,1.56,0.642,0.78,0.82,25,0.123
GOL 205,100 nM RASi 5 Day,20.09,4.329,0.582,7.43,2,1.0
