gene,spearman_rho,p_nominal,detection_frac,p_fdr_bh
Tagln,-0.6297592171677213,8.107975191850737e-12,0.295,9.73524581285518e-08
Ncam1,-0.6135199146476649,3.840117765978215e-11,0.537,2.3054147008050215e-07
Ndufa4l2,-0.5677421460173014,1.9749455852312877e-09,0.253,7.90439054729069e-06
Col12a1,-0.5628175638255876,2.9130570345205827e-09,0.358,8.74426895337216e-06
Thbs2,-0.5544548979030839,5.555834615491265e-09,0.316,1.3341781245640723e-05
Ptprn,-0.5211045489098736,6.16143292066872e-08,0.368,0.0001056861786835276
Acta2,-0.5126522003236372,1.08913494233514e-07,0.558,0.00016346554065772533
Tnc,-0.5068674985127433,1.594326270026086e-07,0.221,0.0002127008391578135
Tpm4,-0.49026965912516723,4.579492855123253e-07,0.926,0.0004582164225955408
Slc16a3,-0.48602073275735885,5.946844843300728e-07,0.505,0.0005492597387193218
Tmem45a,-0.4796147008919709,8.759876523556532e-07,0.621,0.0007404578295936705
Col5a1,-0.4787031669157332,9.250326845927423e-07,0.916,0.0007404578295936705
Mmp14,-0.4746722548525496,1.1748053832575007e-06,0.895,0.000841677911990632
Tln2,-0.47443009177680473,1.191681894215103e-06,0.558,0.000841677911990632
Mmp2,-0.47134724833843,1.4275941005635976e-06,0.442,0.0008545779859139375
P4ha2,-0.47097824366598695,1.458623158395962e-06,0.453,0.0008545779859139375
Myh9,-0.47053255554794593,1.496950946515982e-06,0.863,0.0008545779859139375
Bgn,-0.4697454848345002,1.5669730604230446e-06,0.979,0.0008545779859139375
Mif,-0.4689910864189353,1.6369862310336108e-06,0.842,0.0008545779859139375
Inhba,-0.4650887459762819,2.048912114246371e-06,0.211,0.0010250536564898407
Fbln2,-0.4612127079838575,2.5536561010473315e-06,0.937,0.0012264699522110123
Elk3,-0.4527828890245357,4.084759079068465e-06,0.726,0.0018863731639375025
Tes,-0.4494775036527674,4.894269250514282e-06,0.421,0.0021255111585336225
Amotl1,-0.44924472196568216,4.9566346663564114e-06,0.705,0.0021255111585336225
Prelid2,-0.43877176266418705,8.67875865046857e-06,0.347,0.00315775318533867
Jak3,-0.43588664849543607,1.009422706082343e-05,0.2,0.0035647465976266744
Wipi1,-0.4342703705753927,1.097921233322364e-05,0.705,0.0037664972138576067
Nt5e,-0.4334603764438656,1.1449648231753502e-05,0.305,0.0038187757310740086
Fblim1,-0.42991477242412024,1.374056011060326e-05,0.663,0.004282387786966537
Runx2,-0.4294032114073619,1.4104578101834062e-05,0.495,0.004282387786966537
Pdlim7,-0.42917989782940663,1.4266303945920004e-05,0.768,0.004282387786966537
Sema7a,-0.4239689312570268,1.8572187723705464e-05,0.137,0.005406576760508072
Ccn4,-0.4235808557131095,1.893732867504001e-05,0.526,0.005406576760508072
Slc39a6,-0.4231379519938983,1.9362272066448497e-05,0.642,0.005406576760508072
Ets1,-0.4118494936888042,3.373519768740698e-05,0.442,0.00872224480844416
Prnp,-0.41052726532681233,3.595555009040546e-05,0.737,0.008810577345622416
Gadd45g,-0.40828234966623134,4.004062628244841e-05,0.305,0.009242052939337858
Fhdc1,-0.4081925105071448,4.0212790786743116e-05,0.337,0.009242052939337858
Cthrc1,-0.4080556100416028,4.04764710838912e-05,0.221,0.009242052939337858
Lbh,-0.40693594373026587,4.269440271914892e-05,0.579,0.009242052939337858
Siah2,-0.4068260748998955,4.291804425322767e-05,0.326,0.009242052939337858
Gpc1,-0.4067349131838085,4.310443612916799e-05,0.274,0.009242052939337858
Runx1,-0.40421635178712895,4.856268840627455e-05,0.789,0.009882918638883704
Tnfrsf23,-0.40266815617404844,5.2230921872478765e-05,0.305,0.010115107724562138
Tpm2,-0.4021689566425462,5.346771609140789e-05,0.832,0.010190267731897374
Pxdn,-0.4000866488239487,5.8927020163214814e-05,0.684,0.010720253501510913
Itga5,-0.39879876065462827,6.255888201858742e-05,0.642,0.011211111886525063
Pmepa1,-0.39770002292459933,6.582099474663976e-05,0.832,0.011442682496582559
Pkm,-0.3974382315327981,6.66212622019462e-05,0.947,0.011442682496582559
Dap,-0.3974093614946116,6.671006702430074e-05,0.905,0.011442682496582559
P4hb,-0.39591215626460713,7.146947325315477e-05,0.937,0.011755259799323688
Col1a1,-0.39387449436241717,7.845565790858934e-05,0.968,0.0127299606014653
5730419F03Rik,-0.3922786742893026,8.43648489192954e-05,0.442,0.013506249879653064
Gm17501,-0.3902106566230844,9.263855454392002e-05,0.116,0.014392389684020169
Traf4,-0.38895104394896085,9.804101666534836e-05,0.358,0.014813380770929516
Gapdh,-0.3882440414829388,0.00010120010626608884,0.916,0.0150013540239127
Ece1,-0.3860233574130463,0.00011174800897666097,0.611,0.015630662545931786
Ereg,-0.3858488422754996,0.0001126187344864382,0.105,0.015630662545931786
Dhx40,-0.38543620785870875,0.00011470263156555505,0.642,0.015630662545931786
Myo7a,-0.3854078057007095,0.00011484737668089066,0.221,0.015630662545931786
Nt5dc2,-0.3851871798758296,0.00011597752983326768,0.453,0.015630662545931786
Loxl2,-0.3850368747913277,0.00011675336469973145,0.832,0.015630662545931786
Pofut2,-0.3829484122107116,0.00012804371702475301,0.779,0.01671109685126315
Srgap3,-0.38181158096493495,0.00013460691853673127,0.379,0.017378766353446585
Adamts4,-0.38129491677457994,0.00013769161232583046,0.316,0.017587906268045173
Mthfd1l,-0.3809532940660862,0.00013976707248552177,0.526,0.017665086729827997
E2f1,-0.37892168508424295,0.000152720447364844,0.189,0.01890427228360497
Jmjd6,-0.3773171883321769,0.00016372674395449073,0.579,0.019952553449995983
Fzd2,-0.377206480609212,0.0001645126002789708,0.611,0.019952553449995983
Kdelr3,-0.3760046111825561,0.000173271626453912,0.632,0.020658974990842117
Enpp3,-0.37593681581450966,0.0001737783354772261,0.379,0.020658974990842117
Zfp618,-0.3747184181674399,0.000183121676668163,0.263,0.021315549299560272
Fstl1,-0.3745782888716358,0.00018422554590245642,0.947,0.021315549299560272
Insyn1,-0.37452751148569446,0.0001846270614769941,0.347,0.021315549299560272
Rnf19b,-0.3737602462366064,0.0001907934405250512,0.495,0.021817684194136093
Ch25h,-0.3680074006289242,0.00024345740373156027,0.358,0.02683178786249026
Rps15,-0.36799540872078884,0.00024357998475984326,0.979,0.02683178786249026
Pi4k2b,-0.36772562752153454,0.00024635278004297626,0.505,0.02689052572705469
Serpinf1,-0.3664958322516347,0.0002593653706181113,0.705,0.02805585590100597
Mex3b,-0.3655731653749334,0.00026954123993143045,0.316,0.028896264891577546
Col6a3,-0.36458627559135814,0.0002808319030204285,0.895,0.0298402536244804
Rab31,-0.36300426179541495,0.00029984401935545426,0.716,0.03126109998105825
Nid1,-0.3628295772321484,0.00030201445804970073,0.811,0.03126109998105825
4833422C13Rik,-0.3610982688752428,0.00032432202837497076,0.158,0.03272382012351491
Ankrd50,-0.3607595614753027,0.00032885978497794487,0.358,0.032905161985251535
Fbxw7,-0.35831311694692863,0.00036341148874667503,0.568,0.036061832606457254
Nexn,-0.35775291082378297,0.00037177939166460155,0.284,0.03629231833916155
