accession,source_db,publication,model_system,organism,treatment,data_type,resistant_model,raw_available,notes
GSE335219,GEO/SRA,"Aronchik et al., Nature Medicine 2026 (s41591-026-04537-w); RevMed","Human PDAC: HPAC cell line (KRAS G12D/WT); clinical ctDNA from 44 phase 1/2 patients (not deposited)",Human,"Daraxonrasib monotherapy (clinical) / daraxonrasib in vitro (HPAC)",WES (MAF) only — 2 samples, HPAC +/- drug,not_applicable — deposited data are parental HPAC only,"Yes (SRA via BioProject PRJNA1477593; GSE335219_RAW.tar of MAFs)","KEY PAPER for the thesis: first map of clinical daraxonrasib resistance in PDAC — mutant KRAS amp 36%, MAPK 25%, RTK 9%, PI3K 9%, MYC amp, RTK upregulation, partial EMT; no secondary KRAS mutations; human + murine preclinical models corroborate. BUT the 44-patient paired ctDNA targeted-seq and the preclinical-model omics are NOT in the GEO deposit (only the 2 HPAC WES MAFs are)."
GSE337208,GEO,"Mahadevan et al. 2026 (KRAS + anti-CTLA4 synergy in PDAC; no PMID in GEO record yet)","Murine KPC PDAC models",Mouse,"MRTX1133 or RMC-6236 (pan-RAS) +/- anti-CTLA4 / anti-PD1; tumors harvested d10-14",scRNA-seq (9 samples),no — short-term treatment not acquired resistance,Yes (SRA),"Directly relevant: in vivo PDAC scRNA-seq with RMC-6236 — includes stromal/CAF populations. Use to ask how RMC-6236 remodels CAFs in vivo."
GSE324125,GEO,"PMID 42415848 (MUC1-C / RAS(ON) resistance in NSCLC)","Human NSCLC: H358 (KRAS G12C) parental vs RMC-6236-resistant (RMC-R)",Human,"RMC-6236 (resistance selection); tet-MUC1 shRNA +/- DOX",bulk RNA-seq (6 samples),yes — RMC-6236-resistant H358,"Yes (SRA)","Only true RMC-6236-resistant line with omics found; wrong tissue (lung) but usable as a RAS(ON)-resistance expression signature source."
GSE336609,GEO,"(appendiceal adenocarcinoma KRAS inhibition paper; no PMID in GEO record yet)","Human appendiceal adenocarcinoma organoids + PDX (KRAS G12D/G12V); mouse stroma reads separated",Human + Mouse,"MRTX1133 (G12D organoids/PDX) or RMC-6236 (G12V organoids/PDX AAPDX-16) vs vehicle",bulk RNA-seq + scRNA-seq of TME (human and mouse reads extracted separately),no — short-term treatment; shared EMT resistance program noted,"No — raw missing (patient privacy); processed only","True RMC-6236 PDX data + TME scRNA-seq showing normal-to-iCAF shift after KRAS inhibition — closest thing to her CAF question with real RMC-6236. Wrong primary (appendiceal) but GI/PDX."
GSE269985,GEO,"PMID 38975874","Human PDAC cell lines + organoids; murine KPC model; clinical KRAS G12C PDAC (adagrasib/sotorasib)",Human + Mouse,"MRTX1133 (G12D models); adagrasib/sotorasib (clinical G12C)",bulk RNA-seq etc.,yes — acquired resistance in cell lines/organoids/KPC + patients,"Yes (SRA)","BEST PDAC resistance comparator: multi-model KRASi resistance — KRAS/MYC/MET/EGFR/CDK6 amps, EMT, PI3K-AKT-mTOR. G12D-inhibitor arm (MRTX1133) closest to daraxonrasib biology."
GSE269313,GEO,"PMID 38975874 (companion to GSE269985)","Human PDAC models (companion series)",Human,"KRAS inhibitors (see GSE269985)",bulk RNA-seq,yes,"Yes (SRA)","Companion series to GSE269985."
GSE298318,GEO,"PMID 42147356","Human PDAC (KRAS G12D inhibition models)",Human,"KRAS G12D inhibition (acquired resistance)",bulk RNA-seq,yes — acquired resistance,"Yes (SRA)","PDAC G12Di acquired-resistance mechanism dataset."
GSE294216,GEO,"(MRTX1133 resistance / BET inhibition paper)","Human PDAC",Human,"MRTX1133 (resistance selection)",bulk RNA-seq,yes — MRTX1133-resistant,"Yes (SRA)","PDAC MRTX1133 resistance via histone acetylation; BET-inhibitor vulnerability."
GSE298925,GEO,"PMID 40789946","Human PDAC (K-Ras inhibitor resistant)",Human,"KRAS inhibitor + degrader",bulk RNA-seq (degrader),yes — resistant PDAC,"Yes (SRA)","Metabolic vulnerabilities (ZBTB11) in K-Ras-inhibitor-resistant PDAC."
GSE298803,GEO,"PMID 40789946 (companion to GSE298925)","Human PDAC (K-Ras inhibitor resistant)",Human,"KRAS inhibitor + degrader",bulk RNA-seq (CRISPRi),yes — resistant PDAC,"Yes (SRA)","Companion CRISPRi series to GSE298925."
