source,bucket,query,count,accession,entrytype,title
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSE304710,GSE,Pan-ERBB inhibitors synergize with KRAS inhibitors in rectal cancer
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSE324125,GSE,NSCLC KRAS G12C MUTANT CELLS ARE DEPENDENT ON MUC1-C FOR RESISTANCE TO RAS(ON) INHIBITORS
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSE336609,GSE,KRAS inhibition is an effective therapy for appendiceal adenocarcinoma
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSE335219,GSE,Acquired resistance to the RAS(ON) multi-selective inhibitor daraxonrasib guides rational combination therapy strategies in pancreatic cancer
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSE318390,GSE,Anticancer activity of RAS-GTP inhibition in cholangiocarcinoma [Mouse_hKPR.KPCHR_Sep25]
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSE318389,GSE,Anticancer activity of RAS-GTP inhibition in cholangiocarcinoma [Mouse_iAKP_Abr24]
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSE318388,GSE,Anticancer activity of RAS-GTP inhibition in cholangiocarcinoma [Human_Abr24]
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSE303105,GSE,Prolonged KRAS-MAPK Inhibition Induces Interferon-mediated Epithelial-to-Mesenchymal Transition and Reveals Therapeutic Opportunities [scRNAseq-RMC-6236]
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSE315131,GSE,Single-cell RNA-seq analysis of immune microenvironment changes in pancreatic cancer following combined EZH2 and KRAS inhibition
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSE315130,GSE,"Differential mRNA expression analysis of multiple human and mouse pancreatic cancer cells and tumors after DMSO, tazemetostat, RMC-6236, or the combination treatment."
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSE315129,GSE,ChIP-seq analysis of H3K27ac changes in pancreatic cancer cells treated with EZH2 and KRAS inhibitors
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSE315010,GSE,Abrogation of Oncogenic RAS Signaling by a RAS(ON) Inhibitor Doublet Primes Immune-refractory KRASG12C-mutant NSCLC for Immune Checkpoint Blockade
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSE300712,GSE,RAS(ON) multi-selective inhibition drives anti-tumor immunity in preclinical models of NRAS-mutant melanoma
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9568544,GSM,H358-RMC-6236-R/tet-MUC1shRNA_DOX+ Rep3
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9568543,GSM,H358-RMC-6236-R/tet-MUC1shRNA_DOX+ Rep2
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9568542,GSM,H358-RMC-6236-R/tet-MUC1shRNA_DOX+ Rep1
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9568541,GSM,H358-RMC-6236R/tet-MUC1shRNA_DOX- Rep3
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9568540,GSM,H358-RMC-6236R/tet-MUC1shRNA_DOX- Rep2
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9568539,GSM,H358-RMC-6236R/tet-MUC1shRNA_DOX- Rep1
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9838802,GSM,Extracted Human reads from AAP16 PDX Model treated with Vehicle control (Replicate 3)
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9838801,GSM,Extracted Human reads from AAP16 PDX Model treated with Vehicle control (Replicate 2)
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9838800,GSM,Extracted Human reads from AAP16 PDX Model treated with Vehicle control (Replicate 1)
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9838799,GSM,Extracted Human reads from AAP16 PDX Model treated with RMC-6236 (Replicate 2)
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9838798,GSM,Extracted Human reads from AAP16 PDX Model treated with RMC-6236 (Replicate 1)
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9838791,GSM,Extracted Human reads from AAP01 PDX Model treated with Vehicle control (Replicate 3)
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9838790,GSM,Extracted Human reads from AAP01 PDX Model treated with Vehicle control (Replicate 2)
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9838789,GSM,Extracted Human reads from AAP01 PDX Model treated with Vehicle control (Replicate 1)
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9838788,GSM,Extracted Human reads from AAP01 PDX Model treated with MRTX1133 (Replicate 3)
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9838787,GSM,Extracted Human reads from AAP01 PDX Model treated with MRTX1133 (Replicate 2)
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9838786,GSM,Extracted Human reads from AAP01 PDX Model treated with MRTX1133 (Replicate 1)
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9838807,GSM,Extracted Mouse reads from AAP16 PDX Model treated with Vehicle control (Replicate 3)
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9838806,GSM,Extracted Mouse reads from AAP16 PDX Model treated with Vehicle control (Replicate 2)
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9838805,GSM,Extracted Mouse reads from AAP16 PDX Model treated with Vehicle control (Replicate 1)
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9838804,GSM,Extracted Mouse reads from AAP16 PDX Model treated with RMC-6236 (Replicate 2)
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9838803,GSM,Extracted Mouse reads from AAP16 PDX Model treated with RMC-6236 (Replicate 1)
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9838797,GSM,Extracted Mouse reads from AAP01 PDX Model treated with Vehicle control (Replicate 3)
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9838796,GSM,Extracted Mouse reads from AAP01 PDX Model treated with Vehicle control (Replicate 2)
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9838795,GSM,Extracted Mouse reads from AAP01 PDX Model treated with Vehicle control (Replicate 1)
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9838794,GSM,Extracted Mouse reads from AAP01 PDX Model treated with MRTX1133 (Replicate 3)
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9838793,GSM,Extracted Mouse reads from AAP01 PDX Model treated with MRTX1133 (Replicate 2)
GEO,drug_direct,RMC-6236 OR daraxonrasib,64,GSM9838792,GSM,Extracted Mouse reads from AAP01 PDX Model treated with MRTX1133 (Replicate 1)
