gene,mean_parental,mean_resistant,log2FC,p_value,padj,n_parental,n_resistant
ALPG,7.17529967930865,4.197076515857525,-2.9782231634511254,5.648696031288852e-10,8.266866641791236e-06,6,6
SLITRK6,1.494528118540191,3.6304031751028862,2.1358750565626954,1.3519470704164723e-08,9.892872687772537e-05,6,6
PALLD,3.599292064027591,4.46017829613298,0.8608862321053894,2.6355151301977153e-07,0.0008564117402204465,6,6
CXCL1,3.332430100708036,4.302027395394334,0.9695972946862979,2.9259027680917205e-07,0.0008564117402204465,6,6
KLHL12,5.917198034463791,6.2623798823615004,0.34518184789770956,2.0182985110065779e-07,0.0008564117402204465,6,6
ZNF608,3.2001640019881754,4.329294523808603,1.1291305218204273,3.8321163880115644e-07,0.0009347170556424874,6,6
LHX1,2.704247732630082,3.5612995418307194,0.8570518092006374,1.138049923904774e-06,0.00210712295793249,6,6
PRNP,7.2850271508129625,7.7524311730063795,0.46740402219341703,1.1518266937792907e-06,0.00210712295793249,6,6
BRK1,6.878999832582378,6.546591365945005,-0.33240846663737234,1.3578035781779792e-06,0.002207939485181636,6,6
RPS6KA1,6.313681031493089,6.5489751340003854,0.23529410250729654,4.624183770703473e-06,0.0061522663167495745,6,6
AATF,6.05710025937184,6.406748256464763,0.34964799709292294,4.6097637270783435e-06,0.0061522663167495745,6,6
STIM1,7.438362393003259,7.000010231118988,-0.4383521618842714,5.757110606841029e-06,0.007021276144259871,6,6
AOPEP,5.517131403946693,4.918442521519338,-0.5986888824273553,6.7883294551976065e-06,0.00726864498935975,6,6
LURAP1L,3.2256820044356935,3.894902605992781,0.6692206015570874,6.953264766042808e-06,0.00726864498935975,6,6
CAPN2,8.676577990233456,9.023034069674896,0.34645607944143997,7.566855460619179e-06,0.007382728644410779,6,6
TFAP2A,5.792946532808518,6.375784141232871,0.5828376084243532,8.802620235641534e-06,0.008051646696788366,6,6
TLE4,0.9216221421290903,2.7518219192381115,1.830199777109021,1.3398180636702012e-05,0.011534257271654937,6,6
ENOX2,3.6262156633190723,4.250121484690875,0.6239058213718027,1.588917512778444e-05,0.012918782110840292,6,6
HMCN1,0.171064753976381,1.1107667265693693,0.9397019725929883,2.485918712914258e-05,0.018190710181750083,6,6
SLC2A4RG,7.28948209599481,7.553893969844679,0.26441187384986886,2.4772580903264384e-05,0.018190710181750083,6,6
ZSCAN12P1,0.3987029965257822,0.9212039186768325,0.5225009221510503,2.6147534479703753e-05,0.018222341290974498,6,6
GRM4,0.49064502451140574,1.2797983147377856,0.7891532902263798,2.8180353921188493e-05,0.018746339983481526,6,6
MME,0.8470710035239258,4.090501390480799,3.2434303869568737,3.3143598205917186e-05,0.021089415641026,6,6
UFL1,4.717242187712307,5.178753700857375,0.46151151314506844,3.6195573564450365e-05,0.022071759129822132,6,6
COG3,3.71370846677708,4.1944279842301215,0.4807195174530414,4.1957682716322506e-05,0.02361733409820692,6,6
AAK1,6.326325974114243,5.819858600712471,-0.5064673734017724,4.1034818080199964e-05,0.02361733409820692,6,6
COP1,5.541772911694498,5.723348080110186,0.1815751684156881,4.582865643266098e-05,0.02417894587316682,6,6
CSDE1,8.791377655038874,8.999217584609596,0.2078399295707225,4.625968462238954e-05,0.02417894587316682,6,6
RPN2,8.193087330228407,8.436907456081467,0.2438201258530608,5.3353487995720434e-05,0.0262137536470259,6,6
KNDC1,1.4755081364152662,2.2595227326842706,0.7840145962690044,5.373506043121128e-05,0.0262137536470259,6,6
EIF3FP3,2.4687142461468023,2.047648187558652,-0.4210660585881505,5.706221782337241e-05,0.026938888962743716,6,6
MRPS34,7.612624067200309,7.238639636741348,-0.373984430458961,6.117744317162001e-05,0.027979121275520588,6,6
SEMA6B,5.001023493235455,6.19742805399746,1.196404560762005,6.706723404581674e-05,0.029743302129106912,6,6
SLC9A3,0.37716741752977695,0.9204664632048907,0.5432990456751137,7.189144031988099e-05,0.030945036149454652,6,6
PDE4B,0.3036097112791856,2.377707331395735,2.0740976201165493,7.878242619397385e-05,0.032065710533929474,6,6
C11orf86,0.8226186144409544,2.055533903392658,1.2329152889517037,8.148200425186759e-05,0.032065710533929474,6,6
TCTN2,3.7918486273163694,4.267414281279598,0.4755656539632289,8.104323651964294e-05,0.032065710533929474,6,6
NHS,1.8505081271466637,2.693158121966404,0.8426499948197403,8.32591049053174e-05,0.032065710533929474,6,6
CLK3,5.437170482629505,5.207683595389967,-0.22948688723953836,9.420448008877102e-05,0.032625443389119754,6,6
PRMT9,2.4980587498532976,3.125986424280494,0.6279276744271964,9.55317273424058e-05,0.032625443389119754,6,6
SORT1,5.828502596568538,5.0798163682335735,-0.7486862283349645,9.47462534811665e-05,0.032625443389119754,6,6
PFKP,8.800010910775326,8.442031835426357,-0.3579790753489682,9.58588360595934e-05,0.032625443389119754,6,6
SNX1,6.255141743670838,6.083313190019081,-0.17182855365175698,9.231810865734585e-05,0.032625443389119754,6,6
UBTD1,6.695102322155596,6.159730517883642,-0.5353718042719535,0.0001024057159584919,0.03406153756937566,6,6
GPALPP1,3.7513932472633704,4.317071668950855,0.5656784216874846,0.00011220593781400388,0.03649186444239882,6,6
SMARCA5,6.385291195442506,6.617522227206268,0.23223103176376192,0.00012460360402111572,0.03721579071120466,6,6
IL1R1,3.300545806509742,4.101806351617204,0.8012605451074615,0.00011842116599898831,0.03721579071120466,6,6
PLCXD3,0.285104487375282,1.7597799606849762,1.4746754733096943,0.00012449478263935077,0.03721579071120466,6,6
