gene,mean_parental,mean_resistant,log2FC,p_value,padj,n_parental,n_resistant
Fdps,3.5042105355206434,1.6033720357840284,-1.900838499736615,2.5159591108720866e-09,1.7329926355686932e-05,9,9
B3galnt1,2.1713436012957,0.2388669290606037,-1.9324766722350963,1.781999035439157e-09,1.7329926355686932e-05,9,9
Glul,8.459844894866457,6.4197132908288665,-2.0401316040375903,4.146558471617503e-09,1.9040996501667574e-05,9,9
Fam149a,8.00630274940504,6.684461835613868,-1.3218409137911715,1.0717687370121204e-08,3.6911715302697424e-05,9,9
Mvd,7.419795970561826,5.510465212270306,-1.90933075829152,4.2660194373406714e-08,0.00011753736753761018,9,9
S100g,5.852415389264178,1.7562920023429927,-4.096123386921185,6.280670186468406e-08,0.00013028980907875203,9,9
Akr1c19,6.845689250604969,3.2448011383870177,-3.6008881122179512,6.620417127985368e-08,0.00013028980907875203,9,9
Pheta2,0.886741155294192,0.21177969488472131,-0.6749614604094707,8.073946216027417e-08,0.00013903335383999213,9,9
Aacs,7.277005972942234,6.154212038325966,-1.1227939346162685,9.091047976855717e-08,0.00013915364103240485,9,9
Erg28,5.979985233745055,5.023683758243744,-0.9563014755013111,1.1733607980011953e-07,0.00014694743957513153,9,9
Tmbim6,9.879218179557022,9.133348635970748,-0.7458695435862737,1.11649264768818e-07,0.00014694743957513153,9,9
Sqle,8.14072898029814,6.832048455535972,-1.3086805247621687,2.0165643450972945e-07,0.00023150158681716943,9,9
Nr4a1,4.229177041570562,5.473187272834247,1.244010231263685,2.202989981745041e-07,0.00023344915375784374,9,9
Atp9a,3.080843285015682,1.8208564213750167,-1.2599868636406653,2.7146664784013666e-07,0.0002520395312457557,9,9
Insig1,8.802521029439449,6.377946741706013,-2.424574287733436,2.7443328750626705e-07,0.0002520395312457557,9,9
Dhcr7,6.665595547840505,5.246936925351922,-1.418658622488583,3.405809451686552e-07,0.0002932401937902121,9,9
Chmp2b,7.19858650734344,6.201302886426845,-0.997283620916595,3.62130479271654e-07,0.00029345349896742976,9,9
Gm3571,3.1467241722456367,1.7496810615735636,-1.397043110672073,5.118406853841859e-07,0.0003917287378806969,9,9
Slc33a1,5.702336832902107,4.8853048443921185,-0.8170319885099886,6.067755094670807e-07,0.0003997617971442418,9,9
Synj2bp,5.88564293112265,4.7133158754513715,-1.1723270556712784,6.167404725433351e-07,0.0003997617971442418,9,9
C130074G19Rik,7.2320152961425554,5.924429171207762,-1.3075861249347938,6.384116969492827e-07,0.0003997617971442418,9,9
