gene,mean_DOXminus,mean_DOXplus_MUC1kd,log2FC,p_value,padj,n_DOXminus,n_DOXplus_MUC1kd
ATP13A2,2.06332075340137,3.4191418465090564,1.3558210931076866,2.806880206530366e-06,0.0026910244364455097,3,3
MAP2,2.2663556105672833,0.46454169563718617,-1.8018139149300971,1.5850788497628187e-06,0.0026910244364455097,3,3
MAP2K3,3.530476397000733,4.748708180662837,1.2182317836621044,3.0026562239982383e-06,0.0026910244364455097,3,3
NPNT,3.454033121402262,1.386874299678168,-2.067158821724094,1.9405185760474286e-07,0.0026910244364455097,3,3
H6PD,1.951413811707158,1.2308276326881373,-0.7205861790190207,2.7270010292694045e-06,0.0026910244364455097,3,3
COTL1,6.250130023030603,7.11112226291435,0.8609922398837471,1.872145990850065e-06,0.0026910244364455097,3,3
G0S2,3.0680181707048972,5.252087935662593,2.184069764957696,2.8855420077216866e-06,0.0026910244364455097,3,3
LAMA3,0.4305781843372089,2.3160800866913704,1.8855019023541615,1.0090391776717235e-06,0.0026910244364455097,3,3
PAX8-AS1,0.5305202132100518,2.116652918712448,1.5861327055023962,2.3727845940010632e-06,0.0026910244364455097,3,3
SYT17,1.5919940363852845,0.9188502399382958,-0.6731437964469886,4.1111702061021185e-06,0.0026910244364455097,3,3
NECAP1,2.8552568795540627,3.5779171258898717,0.7226602463358089,2.7654043266845547e-06,0.0026910244364455097,3,3
LINC02154,0.6049846519597223,1.7934447698453966,1.1884601178856742,1.4918294300028842e-06,0.0026910244364455097,3,3
PLK3,1.7495678374752943,2.928686999118842,1.1791191616435475,2.8881067121623158e-06,0.0026910244364455097,3,3
RASA3,2.5240042643561327,3.229911778662764,0.7059075143066313,3.6317177888169227e-06,0.0026910244364455097,3,3
NYNRIN,0.6558285361103794,0.15046841079717452,-0.5053601253132048,5.61007225689292e-07,0.0026910244364455097,3,3
ZNF605,1.831986774693673,1.2703645568353965,-0.5616222178582766,1.974145457330289e-06,0.0026910244364455097,3,3
PEX5L,0.11197158526621041,0.043393227815945075,-0.06857835745026533,3.912193674621746e-07,0.0026910244364455097,3,3
PLCD1,0.8334201783859897,0.3367623913442088,-0.4966577870417809,9.846763588999372e-07,0.0026910244364455097,3,3
SLC37A2,0.5636883487014709,2.063216204510162,1.499527855808691,4.001783823069725e-06,0.0026910244364455097,3,3
PPP1R15A,3.860138854832925,5.253120796706878,1.3929819418739533,2.376810151793466e-06,0.0026910244364455097,3,3
LSM10,3.885507698008388,4.686671699951436,0.8011640019430479,3.686828927148963e-06,0.0026910244364455097,3,3
DPH2,2.8985786715889184,3.5182928293188223,0.6197141577299039,3.5678746143529533e-06,0.0026910244364455097,3,3
C15ORF39,2.60834613065481,3.216808136513183,0.6084620058583727,3.42910470706896e-06,0.0026910244364455097,3,3
SERINC2,2.734784675377456,4.779299931847568,2.044515256470112,1.793556360923684e-06,0.0026910244364455097,3,3
RFTN1,0.8937278370569954,1.7408004238160435,0.8470725867590481,3.251755834935048e-06,0.0026910244364455097,3,3
CDK8,2.5192193201613318,2.9087506727040746,0.38953135254274285,3.247740233884054e-06,0.0026910244364455097,3,3
LOC101929552,0.6535745921289521,0.33268889250595995,-0.3208856996229921,3.865881975025268e-06,0.0026910244364455097,3,3
PYGM,1.6580891199190366,0.36092678473838086,-1.2971623351806558,3.032355175474089e-06,0.0026910244364455097,3,3
CYSRT1,0.41826081557065115,2.006129110857335,1.5878682952866838,7.36362106285561e-07,0.0026910244364455097,3,3
RERG,1.0600864871867053,0.49369901113545006,-0.5663874760512553,4.173416832902697e-07,0.0026910244364455097,3,3
ADRB2,2.7171836433607677,3.9170005571216993,1.1998169137609316,3.656344423294985e-06,0.0026910244364455097,3,3
LINC02204,0.7894298328049189,0.3194253581942362,-0.4700044746106827,2.882126305401333e-06,0.0026910244364455097,3,3
SEMA7A,2.051638595525095,4.282386909725598,2.2307483142005027,2.3378097965630464e-06,0.0026910244364455097,3,3
KIAA1147,1.7042491219770852,0.9190884082002126,-0.7851607137768726,4.049351858422758e-06,0.0026910244364455097,3,3
ABLIM3,2.1087559327873175,3.4958132265568445,1.387057293769527,2.3040586783878927e-06,0.0026910244364455097,3,3
HAPLN1,4.842014495711502,3.2440739943370964,-1.5979405013744055,8.50393344717355e-07,0.0026910244364455097,3,3
ANKRD1,1.5926669514604292,3.880864587646665,2.2881976361862355,1.1690432411171237e-06,0.0026910244364455097,3,3
CHI3L1,7.421235228812492,5.694119689902901,-1.7271155389095911,3.922952931504235e-06,0.0026910244364455097,3,3
KRBA2,1.6228552836301653,1.019685858526023,-0.6031694251041424,1.0762149807617332e-06,0.0026910244364455097,3,3
UBE2Q2,3.2289364957082163,2.00705301601424,-1.2218834796939761,4.8256414509319245e-06,0.0030580885927777184,3,3
SLITRK5,2.7603991943597666,0.7709364903106811,-1.9894627040490853,4.911533700402948e-06,0.0030580885927777184,3,3
DHTKD1,2.051815823388452,1.336835876444373,-0.714979946944079,5.1071460273433905e-06,0.0031041719949052872,3,3
AR,1.2960109175648218,0.7479989064161948,-0.548012011148627,5.230141302316626e-06,0.003105001096872996,3,3
NBPF20,0.4316227638794161,0.7153007201619731,0.283677956282557,5.555006383090812e-06,0.0031512933988342724,3,3
CCND1,5.126003277085082,6.924025062403488,1.7980217853184062,5.472573180243405e-06,0.0031512933988342724,3,3
STYK1,0.16797611991881364,0.9996283617771846,0.8316522418583709,5.766982192799245e-06,0.0031943093604671017,3,3
LAMC2,0.9487885262749153,3.6417062196196124,2.692917693344697,6.0062225518027614e-06,0.0031943093604671017,3,3
ALDOC,3.9644144759261266,2.8530566127717694,-1.1113578631543573,6.003368425628267e-06,0.0031943093604671017,3,3
PSD4,0.4227514821631911,0.9911921492078976,0.5684406670447064,6.413087955344293e-06,0.003210064888706453,3,3
FGF1,0.3395891214417643,1.2033500415037757,0.8637609200620113,6.386963724334931e-06,0.003210064888706453,3,3
YPEL1,0.49708529842324456,0.10263320324406533,-0.39445209517917923,6.256878780917944e-06,0.003210064888706453,3,3
MOSPD2,2.6493576577675477,1.8310665978784784,-0.8182910598890694,6.666866388194212e-06,0.003219859894393413,3,3
IFFO2,2.7719071604429364,3.824927710239906,1.0530205497969698,6.684917518131107e-06,0.003219859894393413,3,3
ADORA1,2.0595800229265877,0.9421246581049619,-1.1174553648216259,7.40708579935073e-06,0.0033128119449914494,3,3
TNS4,1.0566074902370324,2.785555540557832,1.7289480503207995,7.144125556127469e-06,0.0033128119449914494,3,3
IL15,0.9905885394320331,0.35272716189640546,-0.6378613775356277,7.526758571353183e-06,0.0033128119449914494,3,3
INSIG1,3.3598619416455655,2.3259275726844115,-1.033934368961154,7.398053317358019e-06,0.0033128119449914494,3,3
MMP1,1.0028132104696608,2.2194777773979286,1.2166645669282679,7.2160089965689275e-06,0.0033128119449914494,3,3
MAL2,1.1069174880575912,2.936181601979822,1.8292641139222308,8.06469457979584e-06,0.0033750085775906265,3,3
TBC1D2,2.2280748737288003,3.3664782923077063,1.138403418578906,7.989658186375901e-06,0.0033750085775906265,3,3
PCDH18,0.966078800316609,0.2892780959123502,-0.6768007044042588,7.854074611297256e-06,0.0033750085775906265,3,3
ABTB2,1.5148420445852926,2.2669056397451954,0.7520635951599028,8.585307688569124e-06,0.0034248918730340654,3,3
SKIDA1,0.596492840719954,0.23711166589213498,-0.35938117482781906,9.685956169944372e-06,0.0034248918730340654,3,3
MARS2,2.112641869090214,2.945428116907632,0.8327862478174182,9.92800057209812e-06,0.0034248918730340654,3,3
NPAS2,1.3915076019472705,2.9403145956320933,1.5488069936848228,9.096598224473965e-06,0.0034248918730340654,3,3
FAM46A,4.496968503112204,2.377839184397414,-2.11912931871479,9.61242117005714e-06,0.0034248918730340654,3,3
KLF9,2.8669420794357205,1.968229287269309,-0.8987127921664115,9.924801337204793e-06,0.0034248918730340654,3,3
LINGO1,0.2746521591452257,0.06408840653145369,-0.21056375261377203,9.845670372199276e-06,0.0034248918730340654,3,3
RBMS2,2.8674838015816735,4.494518080936684,1.6270342793550108,9.514794721681205e-06,0.0034248918730340654,3,3
WNT7A,0.2696190479862215,1.2700453590529188,1.0004263110666973,9.389246765499506e-06,0.0034248918730340654,3,3
FOXD1,1.8996389538757734,3.033828559350096,1.1341896054743228,9.421389737118234e-06,0.0034248918730340654,3,3
CYP1B1,3.5902170032396152,4.781063796884549,1.1908467936449338,8.645562759081803e-06,0.0034248918730340654,3,3
4-Mar,0.9877747902364232,2.8676770793120183,1.879902289075595,9.257594680733305e-06,0.0034248918730340654,3,3
SCN4A,0.3571967961711893,0.1455940781628644,-0.21160271800832492,9.450314076406991e-06,0.0034248918730340654,3,3
VPS37A,2.174451883552944,2.619424733816988,0.444972850264044,1.0512690647443981e-05,0.0034740191524940674,3,3
MGLL,1.4424897622231037,3.1324175809159027,1.689927818692799,1.3037278021495338e-05,0.0034740191524940674,3,3
ARL14EPL,2.1753291535537156,3.046899918654733,0.8715707651010174,1.0608110551977177e-05,0.0034740191524940674,3,3
ZNF185,2.0308289562578907,3.428448226446207,1.3976192701883163,1.248918998833578e-05,0.0034740191524940674,3,3
C5,1.265434816119313,0.8283161714228754,-0.4371186446964376,1.2860260856802727e-05,0.0034740191524940674,3,3
C8ORF46,0.7489934414828237,1.0341504090169507,0.285156967534127,1.1639546108915083e-05,0.0034740191524940674,3,3
TRIQK,3.201825154701941,2.1616720525428534,-1.0401531021590875,1.3421781155485317e-05,0.0034740191524940674,3,3
ETS1,4.147139686926908,5.111246671085092,0.9641069841581835,1.2917590686266027e-05,0.0034740191524940674,3,3
ODAPH,0.03818463229249719,0.4127241501859739,0.3745395178934767,1.0778097539987583e-05,0.0034740191524940674,3,3
CD274,0.9565404069858667,3.1422587111201854,2.1857183041343187,1.4086853777020211e-05,0.0034740191524940674,3,3
EPB41,2.5338970867724133,1.9931105972831773,-0.540786489489236,1.415300814240767e-05,0.0034740191524940674,3,3
IGFBP5,0.649482614808603,0.27325826278276594,-0.3762243520258371,1.1021982886635701e-05,0.0034740191524940674,3,3
