,H358_RMC-Resistant_Control_3,H358_RMC-Resistant_Control_2,H358_RMC-Resistant_MUC1_Silencing_1,H358_RMC-Resistant_MUC1_Silencing_2,H358_RMC-Resistant_Control_1,H358_RMC-Resistant_MUC1_Silencing_3
1-Dec,0.043268195,0.032652855,0.04694941,0.007819817,0.092772525,0.034544464
1-Mar,4.690263071,4.79335194,6.709036865,6.19471678,4.399036032,5.753499962
1-Mar,0.007618542,0.012637195,0.056653408,0.048269934,0.008907233,0.025552401
1-Sep,0.632849754,0.852185707,0.702225767,0.507739754,0.59080255,0.667494985
10-Mar,0.0156792,0.004729024,0.009716653,0.013243752,0.00611061,0.011685928
10-Sep,4.349158327,4.012564968,5.470760269,5.003055604,4.087298347,4.97394065
11-Mar,0.0,0.0,0.0,0.0,0.0,0.0
11-Sep,17.54824767,16.17536351,21.09394526,20.32226254,15.99786534,19.15870016
12-Sep,0.0,0.0,0.0,0.006088043,0.05906393,0.0
14-Sep,0.0,0.005369808,0.005516557,0.004296218,0.002312812,0.0
2-Mar,0.267608567,0.37461689,0.398089761,0.410542625,0.375496281,0.413691769
2-Mar,0.462915751,0.451313738,0.236513314,0.353242498,0.469945376,0.331433542
2-Sep,39.48303945,38.54655346,42.5257038,42.26739175,38.78290118,39.73004241
3-Mar,1.015870206,0.984854697,3.155441766,2.9983287,0.806999894,2.779640108
3-Sep,1.321977764,1.226223722,0.55188211,0.5588196,1.362365658,0.491551627
4-Mar,1.093376148,0.987808083,6.623372156,6.301720868,0.874251205,5.985509829
4-Sep,0.283081557,0.223326322,0.053982074,0.084067171,0.237630759,0.060279733
5-Mar,4.567030303,4.610788136,4.720908209,4.495023082,4.230437456,4.226977415
5-Sep,0.006384293,0.0,0.002967755,0.006930608,0.011197465,0.0
6-Mar,11.76474102,11.20168056,12.69586662,13.14713997,12.67150782,12.52916296
6-Sep,2.910290068,2.970928991,2.747846811,2.557582421,2.878182374,2.565416763
7-Mar,13.53086005,12.16779352,14.70714003,14.19253368,12.5983287,13.41946342
7-Sep,26.22484969,25.75123595,29.15366326,31.05949413,26.83955514,28.7965809
8-Mar,0.753285178,0.689261996,0.643619845,0.678154975,0.757120878,0.627666652
8-Sep,7.77659948,7.087214505,8.103960483,8.191218184,7.540449906,7.631474137
9-Mar,0.631238448,0.645545605,0.412689314,0.507064233,0.642056393,0.528647967
9-Sep,39.24425363,37.59862759,46.85314572,48.69176291,36.56995448,45.04156377
A1BG,0.136003894,0.08915343,0.135183386,0.122136193,0.186458739,0.13480572
A1BG-AS1,0.609188949,0.663704944,0.807640515,0.775499089,0.690343929,0.810716506
A1CF,0.034402331,0.031123645,0.048659793,0.03899614,0.038471709,0.035834444
A2M,0.01878611,0.047070096,0.024178958,0.017264471,0.069271143,0.026310913
A2M-AS1,0.127349459,0.115260182,0.11520029,0.05977837,0.136834542,0.039575966
A2ML1,0.0,0.0,0.0,0.001457341,0.0,0.0
A2MP1,0.0,0.0,0.0,0.0,0.0,0.014578593
A3GALT2,0.0,0.008573699,0.052825675,0.041025585,0.055349774,0.02719933
A4GALT,2.040256333,1.841065708,2.266767376,2.582531128,1.788321865,2.148512401
