gene,human_ortholog_guess
Fdps,FDPS
B3galnt1,B3GALNT1
Glul,GLUL
Fam149a,FAM149A
Mvd,MVD
S100g,S100G
Akr1c19,AKR1C19
Aacs,AACS
Sqle,SQLE
Atp9a,ATP9A
Insig1,INSIG1
Dhcr7,DHCR7
Gm3571,GM3571
Synj2bp,SYNJ2BP
C130074G19Rik,C130074G19RIK
Gldc,GLDC
Cystm1,CYSTM1
Lss,LSS
Hip1r,HIP1R
Ephx2,EPHX2
Gipc2,GIPC2
Sall3,SALL3
Frat2,FRAT2
Sema4a,SEMA4A
Mfsd4a,MFSD4A
Akr1c12,AKR1C12
C730027H18Rik,C730027H18RIK
Fgf1,FGF1
Ifngr1,IFNGR1
Cryl1,CRYL1
Pkhd1,PKHD1
Nkain4,NKAIN4
Ugt2b35,UGT2B35
Palmd,PALMD
Gm9926,GM9926
Sptssb,SPTSSB
Calr3,CALR3
Nlrc4,NLRC4
Ugt2b36,UGT2B36
Pik3ap1,PIK3AP1
Akr1c13,AKR1C13
Ugdh,UGDH
Hnf1aos1,HNF1AOS1
Nsdhl,NSDHL
Ehhadh,EHHADH
Acat2,ACAT2
Slc7a7,SLC7A7
Sult1c2,SULT1C2
Vnn1,VNN1
Idh1,IDH1
Cgn,CGN
Pls1,PLS1
Ociad2,OCIAD2
Papss2,PAPSS2
Cxcl5,CXCL5
Rab17,RAB17
Lipa,LIPA
Sprr1a,SPRR1A
Frat1,FRAT1
Ydjc,YDJC
Itga1,ITGA1
Vil1,VIL1
Gm7694,GM7694
Slc40a1,SLC40A1
Slc44a3,SLC44A3
Gm5873,GM5873
Arl14,ARL14
Abcc3,ABCC3
Lrrc26,LRRC26
Gm43437,GM43437
Gm5148,GM5148
Gm7575,GM7575
Slc17a4,SLC17A4
Manba,MANBA
Acnat1,ACNAT1
Msmo1,MSMO1
Ifi27l2b,IFI27L2B
Arhgap26,ARHGAP26
Cmtm8,CMTM8
Ak3,AK3
Hmgcr,HMGCR
Acy3,ACY3
Eeig1,EEIG1
Scd2,SCD2
Cyp3a13,CYP3A13
Add3,ADD3
Ppp1r13b,PPP1R13B
Asb13,ASB13
Inpp5j,INPP5J
Ldhd,LDHD
Aldh3b1,ALDH3B1
Golph3l,GOLPH3L
Prss35,PRSS35
Pkhd1l1,PKHD1L1
Calml4,CALML4
Nbeal2,NBEAL2
Me1,ME1
Pgap4,PGAP4
Tm7sf2,TM7SF2
S100a13,S100A13
Tmprss2,TMPRSS2
Idi1,IDI1
Anks4b,ANKS4B
Rnasel,RNASEL
Hmgcs1,HMGCS1
Marveld3,MARVELD3
Myo6,MYO6
Fads2,FADS2
Ugt1a7c,UGT1A7C
Serpinb6b,SERPINB6B
S100a1,S100A1
Cyb5a,CYB5A
Atp4a,ATP4A
Sqor,SQOR
Itih5,ITIH5
Mtmr11,MTMR11
Slc25a1,SLC25A1
Gstt3,GSTT3
Nxnl2,NXNL2
Tmem98,TMEM98
Gsta4,GSTA4
H2bc4,H2BC4
Rnf152,RNF152
Stap2,STAP2
Plac8,PLAC8
Grb7,GRB7
Lratd2,LRATD2
AA986860,AA986860
Ptprr,PTPRR
Ms4a8a,MS4A8A
Mmab,MMAB
Tmigd1,TMIGD1
Sel1l3,SEL1L3
Ttc32,TTC32
Sema4g,SEMA4G
Prxl2a,PRXL2A
