gene,human_ortholog_guess
Nr4a1,NR4A1
Hmx2,HMX2
Camk2n2,CAMK2N2
Adamts4,ADAMTS4
Aim2,AIM2
Brsk1,BRSK1
Col7a1,COL7A1
Atp10a,ATP10A
Upp1,UPP1
Wnt10a,WNT10A
Phf19,PHF19
Ism1,ISM1
Nav1,NAV1
Ifitm3,IFITM3
Foxd2os,FOXD2OS
Pcdh19,PCDH19
Sema3a,SEMA3A
Afap1l2,AFAP1L2
Cdt1,CDT1
Ripk2,RIPK2
Hic1,HIC1
Akt3,AKT3
Gem,GEM
Tubb3,TUBB3
Lamb1,LAMB1
Map2,MAP2
Anpep,ANPEP
Rrad,RRAD
Steap1,STEAP1
Ramp3,RAMP3
Cyp26b1,CYP26B1
Plekho1,PLEKHO1
Etv4,ETV4
Gzme,GZME
Fermt2,FERMT2
Rtkn2,RTKN2
Timp1,TIMP1
Abcb1b,ABCB1B
Slc25a40,SLC25A40
Pdk3,PDK3
Arid5a,ARID5A
Klhl1,KLHL1
Bambi,BAMBI
Hip1,HIP1
Ubash3b,UBASH3B
Frmd4a,FRMD4A
Trpv4,TRPV4
Bmper,BMPER
Gm15731,GM15731
Ccl9,CCL9
Serpinh1,SERPINH1
Lgals1,LGALS1
Shox2,SHOX2
Plcd1,PLCD1
Hoxa5,HOXA5
Prr7,PRR7
Fndc4,FNDC4
Six4,SIX4
Spn,SPN
Rgmb,RGMB
Ap1s2,AP1S2
Smtn,SMTN
Kcnab3,KCNAB3
Nes,NES
Rhoj,RHOJ
Gdf11,GDF11
1700109H08Rik,1700109H08RIK
Tceal8,TCEAL8
Cenpn,CENPN
Isl2,ISL2
Ier5l,IER5L
Traf1,TRAF1
Suv39h2,SUV39H2
Inhba,INHBA
Tiam2,TIAM2
Tmem243,TMEM243
Col8a1,COL8A1
Tcf7l1,TCF7L1
Podxl,PODXL
Pax3,PAX3
Ankrd34a,ANKRD34A
Zeb2,ZEB2
Neil3,NEIL3
Spsb1,SPSB1
Hrob,HROB
Gpr161,GPR161
Cd109,CD109
Tbx15,TBX15
Rgs2,RGS2
Dzip1,DZIP1
Tspyl2,TSPYL2
Rgs3,RGS3
Gm49774,GM49774
Dbf4,DBF4
Whrn,WHRN
Nptxr,NPTXR
Map1a,MAP1A
Pcyt1b,PCYT1B
Ccl5,CCL5
D630045J12Rik,D630045J12RIK
Rbms3,RBMS3
Btbd19,BTBD19
