test,signature,mean_resistant,mean_parental,p,mean_DOX-,mean_DOX+
T1_H358_MUC1_supported_on_GSE269985_human,PDAC_KRASi_resistance_UP,0.48606387917969746,0.2757820644223104,0.0021645021645021645,,
T1_H358_MUC1_supported_on_GSE269985_human,PDAC_KRASi_resistance_DOWN,0.47267964924268296,0.9017708689215351,0.0021645021645021645,,
T1_H358_MUC1_supported_on_GSE269985_human,KPC_KRASi_resistance_UP,0.46989724650028314,0.4573192407658076,1.0,,
T1_H358_MUC1_supported_on_GSE269985_human,H358_RMCR_MUC1_supported,0.5015798314542762,0.4912944615267812,0.8181818181818182,,
T1_H358_MUC1_supported_on_GSE269985_mouse,PDAC_KRASi_resistance_UP,0.48504287291550163,0.48813735822543414,0.9296365245070707,,
T1_H358_MUC1_supported_on_GSE269985_mouse,PDAC_KRASi_resistance_DOWN,,,,,
T1_H358_MUC1_supported_on_GSE269985_mouse,KPC_KRASi_resistance_UP,0.4626543368024716,0.2712905001657393,0.00041229480206169127,,
T1_H358_MUC1_supported_on_GSE269985_mouse,H358_RMCR_MUC1_supported,0.5359569372310974,0.5496810148357548,0.5364994693194564,,
T2_PDAC_UP_on_H358_DOXminus_vs_DOXplus,PDAC_KRASi_resistance_UP,,,1.0,0.6465493227480065,0.6461880636512413
T2_PDAC_UP_on_H358_DOXminus_vs_DOXplus,PDAC_KRASi_resistance_DOWN,,,,,
T2_PDAC_UP_on_H358_DOXminus_vs_DOXplus,KPC_KRASi_resistance_UP,,,0.7,0.6118066015642113,0.610336362686723
T2_PDAC_UP_on_H358_DOXminus_vs_DOXplus,H358_RMCR_MUC1_supported,,,0.1,0.8552691878704555,0.7233279025125551
T2_PDAC_DOWN_on_H358_DOXminus_vs_DOXplus,PDAC_KRASi_resistance_UP,,,1.0,0.6465493227480065,0.6461880636512413
T2_PDAC_DOWN_on_H358_DOXminus_vs_DOXplus,PDAC_KRASi_resistance_DOWN,,,,,
T2_PDAC_DOWN_on_H358_DOXminus_vs_DOXplus,KPC_KRASi_resistance_UP,,,0.7,0.6118066015642113,0.610336362686723
T2_PDAC_DOWN_on_H358_DOXminus_vs_DOXplus,H358_RMCR_MUC1_supported,,,0.1,0.8552691878704555,0.7233279025125551
