gene,dataset,celltype,value
EGFR,PAAD_GSE165399,Tprolif,0.02
EGFR,PAAD_GSE162708,Tprolif,0.0
EGFR,PAAD_GSE158356,Tprolif,0.0
EGFR,PAAD_GSE154778,Tprolif,0.0
EGFR,PAAD_GSE141017,Tprolif,0.0
EGFR,PAAD_GSE111672,Tprolif,0.26
EGFR,PAAD_CRA001160,Tprolif,0.0
EGFR,PAAD_GSE165399,CD8T,0.02
EGFR,PAAD_GSE162708,CD8T,0.0
EGFR,PAAD_GSE158356,CD8T,0.0
EGFR,PAAD_GSE154778,CD8T,0.01
EGFR,PAAD_GSE141017,CD8T,0.0
EGFR,PAAD_GSE111672,CD8T,0.01
EGFR,PAAD_CRA001160,CD8T,0.0
EGFR,PAAD_GSE165399,B,0.0
EGFR,PAAD_GSE162708,B,0.0
EGFR,PAAD_GSE158356,B,0.0
EGFR,PAAD_GSE154778,B,0.01
EGFR,PAAD_GSE141017,B,0.0
EGFR,PAAD_GSE111672,B,0.01
EGFR,PAAD_CRA001160,B,0.01
EGFR,PAAD_GSE165399,Plasma,0.01
EGFR,PAAD_GSE162708,Plasma,0.0
EGFR,PAAD_GSE158356,Plasma,0.0
EGFR,PAAD_GSE154778,Plasma,0.06
EGFR,PAAD_GSE141017,Plasma,0.0
EGFR,PAAD_GSE111672,Plasma,0.01
EGFR,PAAD_CRA001160,Plasma,0.04
EGFR,PAAD_GSE165399,Mono/Macro,0.01
EGFR,PAAD_GSE162708,Mono/Macro,0.0
EGFR,PAAD_GSE158356,Mono/Macro,0.0
EGFR,PAAD_GSE154778,Mono/Macro,0.0
EGFR,PAAD_GSE141017,Mono/Macro,0.0
EGFR,PAAD_GSE111672,Mono/Macro,0.0
EGFR,PAAD_CRA001160,Mono/Macro,0.01
EGFR,PAAD_GSE165399,Mast,0.01
EGFR,PAAD_GSE162708,Mast,0.0
EGFR,PAAD_GSE158356,Mast,0.0
EGFR,PAAD_GSE154778,Mast,0.0
EGFR,PAAD_GSE141017,Mast,0.0
EGFR,PAAD_GSE111672,Mast,0.07
EGFR,PAAD_CRA001160,Mast,0.01
EGFR,PAAD_GSE165399,Endothelial,0.0
EGFR,PAAD_GSE162708,Endothelial,0.01
EGFR,PAAD_GSE158356,Endothelial,0.0
EGFR,PAAD_GSE154778,Endothelial,0.0
EGFR,PAAD_GSE141017,Endothelial,0.0
EGFR,PAAD_GSE111672,Endothelial,0.03
EGFR,PAAD_CRA001160,Endothelial,0.02
EGFR,PAAD_GSE165399,Fibroblasts,0.05
EGFR,PAAD_GSE162708,Fibroblasts,0.12
EGFR,PAAD_GSE158356,Fibroblasts,0.1
EGFR,PAAD_GSE154778,Fibroblasts,0.05
EGFR,PAAD_GSE141017,Fibroblasts,0.04
EGFR,PAAD_GSE111672,Fibroblasts,0.11
EGFR,PAAD_CRA001160,Fibroblasts,0.1
EGFR,PAAD_GSE165399,Epithelial,0.05
EGFR,PAAD_GSE162708,Epithelial,0.12
EGFR,PAAD_GSE158356,Epithelial,0.13
EGFR,PAAD_GSE154778,Epithelial,0.05
EGFR,PAAD_GSE141017,Epithelial,0.04
EGFR,PAAD_GSE111672,Epithelial,0.11
EGFR,PAAD_CRA001160,Epithelial,0.1
EGFR,PAAD_GSE165399,Malignant,0.54
EGFR,PAAD_GSE162708,Malignant,0.02
EGFR,PAAD_GSE158356,Malignant,0.13
EGFR,PAAD_GSE154778,Malignant,0.08
EGFR,PAAD_GSE141017,Malignant,0.09
EGFR,PAAD_GSE111672,Malignant,0.36
EGFR,PAAD_CRA001160,Malignant,0.09
EGFR,PAAD_GSE165399,Acinar,0.03
EGFR,PAAD_GSE162708,Acinar,0.02
EGFR,PAAD_GSE158356,Acinar,0.26
EGFR,PAAD_GSE154778,Acinar,0.08
EGFR,PAAD_GSE141017,Acinar,0.09
EGFR,PAAD_GSE111672,Acinar,0.05
EGFR,PAAD_CRA001160,Acinar,0.05
EGFR,PAAD_GSE165399,Ductal,0.08
EGFR,PAAD_GSE162708,Ductal,0.02
EGFR,PAAD_GSE158356,Ductal,0.26
EGFR,PAAD_GSE154778,Ductal,0.08
EGFR,PAAD_GSE141017,Ductal,0.09
