contrast,signature,median_test,median_ref,delta_median,direction,p_mwu,n,paper_expectation
02Qveh vs 4Qveh,myCAF,-0.5722977739533814,0.8512105235341517,-1.4235082974875333,DOWN,0.007936507936507936,5/5,"iCAF UP, MAPK UP, SASP UP (stress induces iCAF program)"
02Qveh vs 4Qveh,iCAF,-0.7887422690729508,0.2458363264681875,-1.0345785955411382,DOWN,0.007936507936507936,5/5,"iCAF UP, MAPK UP, SASP UP (stress induces iCAF program)"
02Qveh vs 4Qveh,apCAF,-0.4119418550097633,-0.5030937065993638,0.09115185158960049,UP,0.8412698412698413,5/5,"iCAF UP, MAPK UP, SASP UP (stress induces iCAF program)"
02Qveh vs 4Qveh,SASP,-0.7947675844367055,0.18281672474778785,-0.9775843091844933,DOWN,0.007936507936507936,5/5,"iCAF UP, MAPK UP, SASP UP (stress induces iCAF program)"
02Qveh vs 4Qveh,matrisome_core,-0.4449046810891906,0.8730456697777185,-1.317950350866909,DOWN,0.007936507936507936,5/5,"iCAF UP, MAPK UP, SASP UP (stress induces iCAF program)"
02Qveh vs 4Qveh,MAPK_targets,-0.4115537589411926,-0.33874249210656454,-0.07281126683462807,DOWN,0.5476190476190477,5/5,"iCAF UP, MAPK UP, SASP UP (stress induces iCAF program)"
02Qveh vs 4Qveh,RASON_inhibition_PD,-0.4207948746332918,-0.23642157598276836,-0.18437329865052343,DOWN,0.5476190476190477,5/5,"iCAF UP, MAPK UP, SASP UP (stress induces iCAF program)"
02Qeipa vs 02Qveh,myCAF,-1.1136994148896173,-0.5722977739533814,-0.5414016409362359,DOWN,0.007936507936507936,5/5,"myCAF DOWN, iCAF UP, matrisome DOWN (MP block -> transition)"
02Qeipa vs 02Qveh,iCAF,-0.6494875201725611,-0.7887422690729508,0.1392547489003897,UP,0.2222222222222222,5/5,"myCAF DOWN, iCAF UP, matrisome DOWN (MP block -> transition)"
02Qeipa vs 02Qveh,apCAF,0.4004437639974563,-0.4119418550097633,0.8123856190072196,UP,0.007936507936507936,5/5,"myCAF DOWN, iCAF UP, matrisome DOWN (MP block -> transition)"
02Qeipa vs 02Qveh,SASP,-0.25504955183074457,-0.7947675844367055,0.539718032605961,UP,0.007936507936507936,5/5,"myCAF DOWN, iCAF UP, matrisome DOWN (MP block -> transition)"
02Qeipa vs 02Qveh,matrisome_core,-1.314188473265217,-0.4449046810891906,-0.8692837921760264,DOWN,0.007936507936507936,5/5,"myCAF DOWN, iCAF UP, matrisome DOWN (MP block -> transition)"
02Qeipa vs 02Qveh,MAPK_targets,1.1478932524615517,-0.4115537589411926,1.5594470114027443,UP,0.007936507936507936,5/5,"myCAF DOWN, iCAF UP, matrisome DOWN (MP block -> transition)"
02Qeipa vs 02Qveh,RASON_inhibition_PD,1.1155841480394968,-0.4207948746332918,1.5363790226727887,UP,0.007936507936507936,5/5,"myCAF DOWN, iCAF UP, matrisome DOWN (MP block -> transition)"
4Qil1a vs 4Qveh,myCAF,0.8470447122615207,0.8512105235341517,-0.004165811272631048,DOWN,1.0,5/5,iCAF UP (IL-1a positive control)
4Qil1a vs 4Qveh,iCAF,1.0279137214108458,0.2458363264681875,0.7820773949426583,UP,0.007936507936507936,5/5,iCAF UP (IL-1a positive control)
4Qil1a vs 4Qveh,apCAF,0.389827778642307,-0.5030937065993638,0.8929214852416708,UP,0.007936507936507936,5/5,iCAF UP (IL-1a positive control)
4Qil1a vs 4Qveh,SASP,0.9625889790635285,0.18281672474778785,0.7797722543157406,UP,0.015873015873015872,5/5,iCAF UP (IL-1a positive control)
4Qil1a vs 4Qveh,matrisome_core,0.8521150138269896,0.8730456697777185,-0.02093065595072885,DOWN,0.8412698412698413,5/5,iCAF UP (IL-1a positive control)
4Qil1a vs 4Qveh,MAPK_targets,-0.35701002623417943,-0.33874249210656454,-0.018267534127614893,DOWN,0.6904761904761905,5/5,iCAF UP (IL-1a positive control)
4Qil1a vs 4Qveh,RASON_inhibition_PD,-0.35253955832284006,-0.23642157598276836,-0.1161179823400717,DOWN,0.8412698412698413,5/5,iCAF UP (IL-1a positive control)
