test,n_high,n_low,statistic,p_value,median_OS_days_high,median_OS_days_low,n
logrank_OS_iCAF_median_split,88.0,88.0,0.2559610044966365,0.61290867767537,385.5,394.0,
logrank_OS_myCAF_median_split,88.0,88.0,0.16273567550975968,0.6866502347971479,468.0,308.0,
logrank_OS_apCAF_median_split,88.0,88.0,1.918958352087081,0.16597153645222937,393.5,381.0,
logrank_OS_SASP_median_split,88.0,88.0,0.20796603489744744,0.6483662972335917,385.5,394.0,
kruskal_stage_iCAF,,,4.082685080771057,0.25267294538080337,,,173.0
kruskal_stage_myCAF,,,3.6744082903516073,0.29883639734666145,,,173.0
spearman_myCAF_vs_immune,,,0.4934558661677306,3.4425298425435365e-12,,,176.0
spearman_myCAF_vs_stromal,,,0.9327008584635704,5.547319372068532e-79,,,176.0
spearman_iCAF_vs_immune,,,0.6865419326436276,7.21128596447939e-26,,,176.0
spearman_iCAF_vs_stromal,,,0.5937200088047546,3.8080036833222085e-18,,,176.0
spearman_apCAF_vs_immune,,,0.7553686990975127,9.154553645929426e-34,,,176.0
spearman_apCAF_vs_stromal,,,0.5639555359894344,3.642139018284787e-16,,,176.0
spearman_SASP_vs_immune,,,0.5699163548316092,1.515666938316751e-16,,,176.0
spearman_SASP_vs_stromal,,,0.6547017389390271,6.505729041350499e-23,,,176.0
